survey_id,company_id,customer_id,survey_date,satisfaction_score,preferred_feature,purchase_factor,improvement_area,would_recommend
SRV000081,C004,CUST08808,2025-11-26,8,Longer battery life,Features,Performance,Yes
SRV000082,C002,CUST04181,2023-10-01,8,More smart features,Customer reviews,Durability,Yes
SRV000083,C001,CUST03420,2025-07-02,3,Improved durability,Customer reviews,Software,No
SRV000084,C010,CUST01264,2024-05-21,5,Improved durability,Features,Software,No
SRV000085,C007,CUST00919,2023-06-08,5,Better design,Design,Price,No
SRV000086,C008,CUST03617,2023-06-15,3,Improved comfort,Features,Durability,No
SRV000087,C008,CUST05984,2023-11-09,4,Better performance,Durability,Durability,No
SRV000088,C003,CUST05783,2025-08-12,7,Longer battery life,Features,Durability,Yes
SRV000089,C010,CUST08729,2023-02-10,10,Better software,Customer reviews,Battery life,Yes
SRV000090,C008,CUST00722,2024-12-21,5,Better software,Durability,Comfort,No
SRV000091,C002,CUST08911,2024-03-25,5,Better software,Customer reviews,Battery life,No
SRV000092,C001,CUST05698,2024-11-19,7,Improved comfort,Customer reviews,Design,Yes
SRV000093,C006,CUST09120,2025-12-29,1,Better software,Price,Performance,No
SRV000094,C010,CUST06184,2025-05-27,3,Improved durability,Brand reputation,Battery life,No
SRV000095,C003,CUST02586,2025-02-15,6,Better design,Customer reviews,Price,No
SRV000096,C010,CUST00915,2025-02-15,5,Better software,Design,Performance,No
SRV000097,C002,CUST02449,2023-02-09,9,Longer battery life,Performance,Comfort,Yes
SRV000098,C007,CUST00500,2023-05-21,1,Longer battery life,Features,Comfort,No
SRV000099,C007,CUST08652,2023-02-11,10,Improved comfort,Features,Design,Yes
SRV000100,C009,CUST05635,2023-08-23,10,Better design,Customer reviews,Software,Yes
SRV000101,C007,CUST01379,2025-01-25,3,Better performance,Brand reputation,Software,No
SRV000102,C005,CUST03380,2023-02-22,5,Better software,Durability,Comfort,No
SRV000103,C009,CUST06082,2024-05-12,2,Lower price,Quality,Battery life,No
SRV000104,C009,CUST03455,2025-12-27,7,More smart features,Quality,Price,Yes
SRV000105,C006,CUST05710,2025-05-10,8,Better performance,Durability,Price,Yes
SRV000106,C009,CUST03798,2025-07-30,3,Better software,Brand reputation,Software,No
SRV000107,C006,CUST06674,2025-09-17,8,Better software,Design,Price,Yes
SRV000108,C002,CUST04015,2024-05-17,2,Lower price,Customer reviews,Comfort,No
SRV000109,C005,CUST02932,2025-08-09,10,Better software,Performance,Battery life,Yes
SRV000110,C009,CUST06257,2024-10-27,3,Improved durability,Features,Price,No
SRV000111,C005,CUST00300,2024-06-13,6,Lower price,Design,Battery life,No
SRV000112,C009,CUST00003,2024-01-27,2,Better design,Durability,Customer support,No
SRV000113,C008,CUST03285,2024-05-07,8,Improved durability,Customer reviews,Battery life,Yes
SRV000114,C004,CUST05149,2024-08-25,4,Better software,Features,Software,No
SRV000115,C003,CUST07733,2025-01-25,8,More smart features,Durability,Price,Yes
SRV000116,C002,CUST00945,2025-07-18,5,Lower price,Design,Comfort,No
SRV000117,C002,CUST05652,2024-01-30,6,Better performance,Brand reputation,Comfort,No
SRV000118,C001,CUST04487,2025-09-18,5,Lower price,Quality,Comfort,No
SRV000119,C006,CUST08565,2024-04-10,6,Improved comfort,Design,Battery life,No
SRV000120,C009,CUST02709,2025-12-29,3,Lower price,Price,Battery life,No
SRV000121,C007,CUST03024,2024-08-21,3,Improved durability,Quality,Battery life,No
SRV000122,C010,CUST02148,2024-08-05,8,Improved durability,Customer reviews,Price,Yes
SRV000123,C008,CUST07561,2023-04-16,5,Improved durability,Quality,Performance,No
SRV000124,C001,CUST06155,2025-10-04,2,Longer battery life,Brand reputation,Design,No
SRV000125,C005,CUST01155,2024-09-14,2,Better design,Quality,Durability,No
SRV000126,C005,CUST09171,2024-04-07,9,Better software,Customer reviews,Customer support,Yes
SRV000127,C003,CUST02506,2025-05-28,5,Longer battery life,Quality,Comfort,No
SRV000128,C001,CUST07508,2024-03-08,5,Better performance,Brand reputation,Comfort,No
SRV000129,C009,CUST03579,2023-06-03,3,Longer battery life,Durability,Customer support,No
SRV000130,C001,CUST05502,2025-08-20,5,Longer battery life,Features,Software,No
SRV000131,C007,CUST08118,2024-08-02,8,Better performance,Features,Software,Yes
SRV000132,C006,CUST03771,2024-02-10,7,Better performance,Features,Design,Yes
SRV000133,C002,CUST07390,2024-06-28,3,Better performance,Price,Design,No
SRV000134,C006,CUST07317,2024-09-21,10,Lower price,Customer reviews,Performance,Yes
SRV000135,C003,CUST00899,2024-09-14,7,Lower price,Customer reviews,Customer support,Yes
SRV000136,C003,CUST08540,2023-03-23,7,More smart features,Design,Battery life,Yes
SRV000137,C010,CUST06537,2024-04-13,10,Longer battery life,Design,Battery life,Yes
SRV000138,C008,CUST00670,2023-12-25,8,Improved durability,Design,Design,Yes
SRV000139,C001,CUST07826,2025-06-11,8,Better performance,Customer reviews,Price,Yes
SRV000140,C003,CUST04540,2024-11-13,6,Better performance,Brand reputation,Price,No
SRV000141,C007,CUST07149,2025-10-11,5,Better software,Price,Customer support,No
SRV000142,C007,CUST05291,2024-10-06,5,More smart features,Quality,Durability,No
SRV000143,C006,CUST02701,2025-11-19,1,Improved durability,Durability,Battery life,No
SRV000144,C001,CUST04571,2025-11-27,6,Improved durability,Customer reviews,Battery life,No
SRV000145,C008,CUST07074,2024-06-30,9,Improved comfort,Design,Customer support,Yes
SRV000146,C008,CUST07848,2025-09-19,2,Longer battery life,Features,Design,No
SRV000147,C002,CUST09263,2023-01-29,9,Better software,Quality,Comfort,Yes
SRV000148,C009,CUST08556,2023-08-21,8,Better performance,Brand reputation,Customer support,Yes
SRV000149,C002,CUST07762,2024-08-20,9,Lower price,Durability,Customer support,Yes
SRV000150,C003,CUST07556,2024-05-14,8,Improved comfort,Durability,Comfort,Yes
SRV000151,C008,CUST05855,2025-11-06,3,Better performance,Design,Durability,No
SRV000152,C005,CUST05252,2025-11-05,5,Longer battery life,Design,Software,No
SRV000153,C001,CUST02552,2025-09-29,3,Improved durability,Customer reviews,Price,No
SRV000154,C007,CUST05670,2025-02-11,8,More smart features,Features,Comfort,Yes
SRV000155,C008,CUST05293,2025-02-23,4,Better software,Price,Price,No
SRV000156,C004,CUST05204,2025-08-26,7,Better software,Brand reputation,Customer support,Yes
SRV000157,C007,CUST04443,2023-09-16,9,More smart features,Quality,Customer support,Yes
SRV000158,C003,CUST03090,2025-12-13,8,Longer battery life,Brand reputation,Durability,Yes
SRV000159,C010,CUST00732,2023-11-13,2,Improved durability,Design,Price,No
SRV000160,C007,CUST04529,2025-03-25,2,More smart features,Durability,Price,No
SRV000161,C007,CUST06606,2025-09-26,9,Longer battery life,Quality,Comfort,Yes
SRV000162,C007,CUST03492,2024-08-11,4,Better performance,Durability,Performance,No
SRV000163,C008,CUST00507,2023-07-25,8,Improved comfort,Design,Battery life,Yes
SRV000164,C004,CUST04179,2024-10-26,1,Lower price,Performance,Price,No
SRV000165,C006,CUST05613,2023-10-26,4,Better software,Brand reputation,Design,No
SRV000166,C009,CUST00210,2023-06-11,10,Better software,Features,Customer support,Yes
SRV000167,C010,CUST07456,2023-10-21,4,Improved durability,Design,Customer support,No
SRV000168,C010,CUST09860,2023-01-20,8,Lower price,Brand reputation,Performance,Yes
SRV000169,C001,CUST01463,2024-12-08,10,Lower price,Durability,Software,Yes
SRV000170,C008,CUST01291,2024-09-10,4,Better software,Customer reviews,Performance,No
SRV000171,C003,CUST04517,2025-02-20,10,More smart features,Design,Software,Yes
SRV000172,C009,CUST09491,2025-03-21,5,Longer battery life,Price,Customer support,No
SRV000173,C004,CUST03918,2024-08-09,4,More smart features,Features,Comfort,No
SRV000174,C002,CUST09998,2024-05-28,3,Better performance,Price,Software,No
SRV000175,C002,CUST02327,2025-06-21,1,More smart features,Brand reputation,Performance,No
SRV000176,C009,CUST00757,2024-08-27,6,Better software,Brand reputation,Comfort,No
SRV000177,C003,CUST07645,2025-01-19,9,Lower price,Brand reputation,Software,Yes
SRV000178,C005,CUST01904,2025-09-13,5,More smart features,Quality,Customer support,No
SRV000179,C002,CUST06607,2023-10-16,4,Better software,Performance,Performance,No
SRV000180,C008,CUST09679,2025-03-19,1,Lower price,Quality,Customer support,No
SRV000181,C002,CUST09946,2024-06-20,10,Better software,Performance,Performance,Yes
SRV000182,C004,CUST01053,2024-04-23,8,Longer battery life,Performance,Comfort,Yes
SRV000183,C001,CUST08727,2023-05-10,8,Lower price,Durability,Performance,Yes
SRV000184,C004,CUST02208,2023-04-03,1,Lower price,Customer reviews,Performance,No
SRV000185,C003,CUST04254,2024-04-25,9,Improved comfort,Durability,Customer support,Yes
SRV000186,C004,CUST09016,2025-05-08,10,Improved comfort,Durability,Performance,Yes
SRV000187,C002,CUST00096,2025-09-29,10,Better software,Design,Battery life,Yes
SRV000188,C005,CUST08959,2025-01-28,4,Improved durability,Customer reviews,Comfort,No
SRV000189,C008,CUST05088,2025-01-12,2,More smart features,Performance,Battery life,No
SRV000190,C003,CUST00846,2024-07-19,4,Better performance,Customer reviews,Performance,No
SRV000191,C009,CUST02332,2024-03-10,10,Longer battery life,Price,Price,Yes
SRV000192,C006,CUST03974,2023-09-15,10,Better design,Quality,Comfort,Yes
SRV000193,C003,CUST06617,2024-03-18,4,More smart features,Brand reputation,Battery life,No
SRV000194,C002,CUST08843,2023-10-24,3,Lower price,Brand reputation,Performance,No
SRV000195,C010,CUST05043,2023-02-22,3,Longer battery life,Performance,Comfort,No
SRV000196,C006,CUST08136,2024-10-25,1,Improved comfort,Design,Battery life,No
SRV000197,C007,CUST01581,2025-05-12,9,Better performance,Quality,Customer support,Yes
SRV000198,C004,CUST08783,2025-01-11,9,Better performance,Customer reviews,Comfort,Yes
SRV000199,C009,CUST08291,2023-03-30,9,Lower price,Customer reviews,Battery life,Yes
SRV000200,C004,CUST03278,2025-09-07,7,Better software,Quality,Customer support,Yes
SRV000201,C005,CUST05980,2025-06-27,2,Better performance,Performance,Design,No
SRV000202,C010,CUST03995,2023-09-16,5,More smart features,Durability,Software,No
SRV000203,C001,CUST08885,2025-11-01,10,Better software,Quality,Performance,Yes
SRV000204,C008,CUST08122,2024-03-16,7,Improved durability,Features,Durability,Yes
SRV000205,C010,CUST09160,2025-07-17,7,Better software,Quality,Price,Yes
SRV000206,C001,CUST09369,2024-10-02,5,More smart features,Brand reputation,Customer support,No
SRV000207,C005,CUST04200,2023-07-06,2,Better performance,Durability,Performance,No
SRV000208,C008,CUST04993,2025-02-02,3,Longer battery life,Performance,Performance,No
SRV000209,C006,CUST07075,2024-12-25,7,Longer battery life,Design,Software,Yes
SRV000210,C004,CUST07793,2023-08-01,10,Better design,Brand reputation,Customer support,Yes
SRV000211,C004,CUST03272,2023-08-10,6,More smart features,Quality,Software,No
SRV000212,C010,CUST08150,2024-04-08,7,Longer battery life,Design,Battery life,Yes
SRV000213,C006,CUST09376,2024-07-13,5,More smart features,Performance,Battery life,No
SRV000214,C002,CUST04846,2023-10-21,10,Better software,Quality,Design,Yes
SRV000215,C008,CUST04543,2023-03-04,2,Better design,Durability,Durability,No
SRV000216,C004,CUST05066,2024-11-29,3,More smart features,Design,Price,No
SRV000217,C001,CUST09069,2023-06-23,1,Improved comfort,Brand reputation,Battery life,No
SRV000218,C008,CUST07120,2023-06-17,5,Improved durability,Durability,Customer support,No
SRV000219,C008,CUST05818,2025-06-24,7,Lower price,Features,Performance,Yes
SRV000220,C006,CUST07985,2025-05-30,2,Lower price,Customer reviews,Software,No
SRV000221,C009,CUST00210,2024-03-27,7,Longer battery life,Price,Comfort,Yes
SRV000222,C002,CUST04265,2024-03-08,3,Lower price,Design,Price,No
SRV000223,C010,CUST07066,2023-01-16,8,Better software,Brand reputation,Design,Yes
SRV000224,C004,CUST03581,2025-12-26,4,More smart features,Quality,Durability,No
SRV000225,C010,CUST02035,2023-03-28,7,Longer battery life,Customer reviews,Performance,Yes
SRV000226,C004,CUST03855,2024-10-03,10,Better software,Durability,Durability,Yes
SRV000227,C010,CUST05921,2023-08-24,7,Longer battery life,Performance,Design,Yes
SRV000228,C006,CUST01208,2025-07-31,6,Better performance,Durability,Performance,No
SRV000229,C004,CUST06558,2025-06-11,10,Better software,Quality,Durability,Yes
SRV000230,C010,CUST02703,2024-09-27,6,Better design,Performance,Design,No
SRV000231,C008,CUST07594,2025-11-11,2,Better design,Performance,Price,No
SRV000232,C003,CUST08225,2023-10-30,4,Better performance,Brand reputation,Software,No
SRV000233,C009,CUST04574,2023-12-22,10,Improved comfort,Quality,Design,Yes
SRV000234,C008,CUST08595,2025-10-08,8,Improved durability,Performance,Price,Yes
SRV000235,C009,CUST00611,2025-06-19,2,Improved durability,Customer reviews,Software,No
SRV000236,C005,CUST03809,2024-07-16,10,Longer battery life,Performance,Performance,Yes
SRV000237,C010,CUST05102,2025-08-03,8,Longer battery life,Price,Price,Yes
SRV000238,C009,CUST04029,2024-08-10,2,Better performance,Durability,Customer support,No
SRV000239,C007,CUST01094,2023-03-26,8,Better design,Performance,Customer support,Yes
SRV000240,C003,CUST00410,2023-11-05,1,Improved durability,Quality,Price,No
SRV000241,C005,CUST02705,2023-06-22,9,Improved comfort,Price,Comfort,Yes
SRV000242,C005,CUST05843,2025-06-15,8,Improved comfort,Performance,Price,Yes
SRV000243,C006,CUST09474,2024-08-02,7,Better software,Performance,Battery life,Yes
SRV000244,C006,CUST00838,2024-11-16,2,More smart features,Quality,Durability,No
SRV000245,C005,CUST08406,2024-05-31,10,Improved comfort,Performance,Performance,Yes
SRV000246,C006,CUST08116,2023-10-17,6,Lower price,Durability,Design,No
SRV000247,C004,CUST09093,2023-06-23,5,Better software,Performance,Design,No
SRV000248,C008,CUST04686,2025-12-14,2,Better software,Performance,Battery life,No
SRV000249,C001,CUST06670,2024-09-24,3,Better design,Performance,Customer support,No
SRV000250,C001,CUST04707,2024-04-08,3,Improved comfort,Quality,Software,No
SRV000251,C001,CUST03882,2023-07-27,9,Longer battery life,Performance,Design,Yes
SRV000252,C003,CUST04023,2025-02-10,3,Improved comfort,Brand reputation,Design,No
SRV000253,C002,CUST08973,2025-06-15,1,Better software,Performance,Comfort,No
SRV000254,C002,CUST00949,2024-08-06,8,Better design,Features,Software,Yes
SRV000255,C010,CUST04765,2025-08-18,4,More smart features,Customer reviews,Customer support,No
SRV000256,C005,CUST00685,2024-07-31,7,Better software,Brand reputation,Comfort,Yes
SRV000257,C010,CUST04765,2023-10-11,5,Longer battery life,Customer reviews,Price,No
SRV000258,C004,CUST00433,2023-07-30,9,Better performance,Design,Performance,Yes
SRV000259,C007,CUST03520,2023-11-25,5,Improved durability,Brand reputation,Durability,No
SRV000260,C001,CUST01935,2024-03-30,8,More smart features,Price,Durability,Yes
SRV000261,C003,CUST08459,2025-03-22,9,More smart features,Features,Durability,Yes
SRV000262,C010,CUST02937,2025-02-06,4,Longer battery life,Performance,Performance,No
SRV000263,C001,CUST08202,2024-11-17,3,Improved comfort,Price,Software,No
SRV000264,C004,CUST09872,2025-08-25,3,Improved durability,Customer reviews,Battery life,No
SRV000265,C007,CUST05014,2023-06-12,1,Lower price,Features,Design,No
SRV000266,C006,CUST09952,2025-12-16,7,Better performance,Design,Comfort,Yes
SRV000267,C010,CUST09054,2023-09-07,1,Better design,Durability,Customer support,No
SRV000268,C001,CUST03361,2023-08-16,8,Longer battery life,Features,Design,Yes
SRV000269,C010,CUST01544,2025-05-29,1,More smart features,Features,Durability,No
SRV000270,C001,CUST01989,2023-06-25,9,More smart features,Quality,Battery life,Yes
SRV000271,C009,CUST06209,2025-08-20,1,Better software,Performance,Software,No
SRV000272,C009,CUST08741,2023-02-03,6,Better performance,Performance,Comfort,No
SRV000273,C004,CUST06245,2023-08-01,10,More smart features,Brand reputation,Battery life,Yes
SRV000274,C004,CUST01969,2024-11-24,3,Improved durability,Customer reviews,Design,No
SRV000275,C003,CUST00163,2023-10-04,2,Improved durability,Price,Software,No
SRV000276,C009,CUST02598,2023-03-31,4,Longer battery life,Performance,Software,No
SRV000277,C006,CUST06038,2025-03-26,9,Improved durability,Design,Battery life,Yes
SRV000278,C010,CUST02937,2024-01-27,5,More smart features,Price,Price,No
SRV000279,C010,CUST07527,2023-09-12,6,Better software,Durability,Customer support,No
SRV000280,C001,CUST09706,2025-03-02,6,Improved comfort,Customer reviews,Customer support,No
SRV000281,C003,CUST04676,2025-11-29,5,Better performance,Durability,Performance,No
SRV000282,C009,CUST06791,2024-01-05,9,Lower price,Performance,Performance,Yes
SRV000283,C005,CUST00620,2024-11-02,5,Lower price,Customer reviews,Durability,No
SRV000284,C009,CUST08559,2025-06-28,6,Improved durability,Price,Price,No
SRV000285,C008,CUST04412,2025-06-09,5,Longer battery life,Quality,Durability,No
SRV000286,C004,CUST01909,2025-11-16,3,Longer battery life,Brand reputation,Customer support,No
SRV000287,C008,CUST08711,2023-09-16,2,Better design,Performance,Price,No
SRV000288,C001,CUST03089,2023-03-08,10,Improved comfort,Customer reviews,Price,Yes
SRV000289,C010,CUST08972,2025-06-28,2,Improved comfort,Performance,Durability,No
SRV000290,C008,CUST03756,2024-07-24,4,Better performance,Price,Design,No
SRV000291,C003,CUST09747,2025-11-26,7,Better performance,Design,Software,Yes
SRV000292,C005,CUST04935,2025-07-02,4,Lower price,Customer reviews,Comfort,No
SRV000293,C009,CUST01406,2023-10-05,2,Improved durability,Brand reputation,Customer support,No
SRV000294,C008,CUST09198,2024-10-16,6,Better performance,Design,Software,No
SRV000295,C006,CUST08846,2023-11-19,3,More smart features,Features,Performance,No
SRV000296,C002,CUST08013,2023-10-12,4,Improved durability,Price,Price,No
SRV000297,C002,CUST03615,2025-01-25,8,Improved comfort,Quality,Performance,Yes
SRV000298,C002,CUST08030,2025-03-26,8,Better software,Durability,Performance,Yes
SRV000299,C007,CUST06116,2024-10-11,2,Improved durability,Customer reviews,Price,No
SRV000300,C010,CUST01842,2024-01-08,3,Better software,Price,Performance,No
SRV000301,C001,CUST09786,2023-11-10,5,Improved comfort,Brand reputation,Price,No
SRV000302,C002,CUST06287,2024-04-06,6,Lower price,Quality,Software,No
SRV000303,C004,CUST06719,2024-07-16,3,Lower price,Quality,Design,No
SRV000304,C006,CUST09535,2023-11-12,3,More smart features,Price,Battery life,No
SRV000305,C008,CUST04014,2023-04-04,10,Lower price,Features,Durability,Yes
SRV000306,C001,CUST03883,2023-03-04,8,Lower price,Design,Customer support,Yes
SRV000307,C008,CUST02500,2025-04-11,5,Improved durability,Quality,Battery life,No
SRV000308,C009,CUST00901,2025-06-19,7,Improved durability,Customer reviews,Comfort,Yes
SRV000309,C001,CUST06999,2023-10-22,6,More smart features,Performance,Durability,No
SRV000310,C006,CUST07628,2025-01-28,9,Better performance,Performance,Comfort,Yes
SRV000311,C004,CUST00460,2023-09-08,5,Improved durability,Features,Design,No
SRV000312,C003,CUST01868,2023-04-14,5,Better software,Durability,Comfort,No
SRV000313,C004,CUST05991,2023-11-24,6,More smart features,Features,Design,No
SRV000314,C010,CUST09839,2025-11-20,8,Improved durability,Design,Customer support,Yes
SRV000315,C005,CUST03217,2023-07-04,7,Improved durability,Features,Comfort,Yes
SRV000316,C005,CUST04041,2024-12-23,1,Longer battery life,Design,Customer support,No
SRV000317,C010,CUST06529,2025-08-21,5,Longer battery life,Quality,Durability,No
SRV000318,C009,CUST08153,2024-06-25,6,Better software,Performance,Battery life,No
SRV000319,C006,CUST05990,2023-04-15,10,Better design,Performance,Software,Yes
SRV000320,C003,CUST09072,2025-03-02,9,Improved durability,Design,Performance,Yes
SRV000321,C005,CUST08473,2023-07-18,7,More smart features,Performance,Price,Yes
SRV000322,C002,CUST06568,2023-10-23,4,Better software,Price,Battery life,No
SRV000323,C001,CUST05974,2023-10-08,6,Improved durability,Customer reviews,Design,No
SRV000324,C004,CUST08930,2025-11-21,3,More smart features,Performance,Design,No
SRV000325,C009,CUST04418,2024-09-04,10,More smart features,Customer reviews,Software,Yes
SRV000326,C005,CUST01180,2023-02-04,6,More smart features,Quality,Durability,No
SRV000327,C006,CUST01995,2024-09-22,1,Improved durability,Design,Comfort,No
SRV000328,C006,CUST08664,2023-04-16,10,Improved durability,Brand reputation,Durability,Yes
SRV000329,C003,CUST01397,2024-05-11,1,Better performance,Features,Battery life,No
SRV000330,C003,CUST02458,2024-10-04,7,Improved comfort,Durability,Comfort,Yes
SRV000331,C002,CUST01349,2025-10-24,10,Improved durability,Price,Design,Yes
SRV000332,C004,CUST07499,2024-02-29,9,More smart features,Customer reviews,Durability,Yes
SRV000333,C003,CUST07992,2023-12-21,8,More smart features,Performance,Software,Yes
SRV000334,C010,CUST01084,2025-09-18,4,Better design,Design,Software,No
SRV000335,C005,CUST05278,2024-09-01,5,Better design,Customer reviews,Price,No
SRV000336,C010,CUST09176,2024-12-15,9,Lower price,Design,Performance,Yes
SRV000337,C007,CUST04004,2025-02-16,7,More smart features,Brand reputation,Software,Yes
SRV000338,C005,CUST07077,2024-08-12,2,More smart features,Customer reviews,Software,No
SRV000339,C006,CUST01773,2025-09-08,4,Better design,Design,Software,No
SRV000340,C010,CUST02868,2023-08-12,10,Better design,Features,Battery life,Yes
SRV000341,C001,CUST04024,2025-12-23,4,Better design,Price,Performance,No
SRV000342,C007,CUST05812,2024-11-07,8,Better performance,Brand reputation,Battery life,Yes
