complaint_id,company_id,product_id,customer_id,complaint_category,complaint_text,priority,status,complaint_date
CMP045418,C007,P0312,CUST01602,comfort,The product is uncomfortable during long use.,Low,Resolved,2023-01-01
CMP008132,C009,P0405,CUST03052,quality,The product does not feel durable.,High,Open,2023-01-01
CMP028444,C009,P0443,CUST01112,price,I expected better quality at this price.,Low,Open,2023-01-01
CMP028343,C003,P0118,CUST00699,performance,The product is slow and sometimes stops responding.,Medium,Resolved,2023-01-01
CMP042976,C008,P0388,CUST05753,battery,Battery life is much lower than expected.,Low,Closed,2023-01-01
CMP024315,C002,P0094,CUST01217,performance,The product does not work reliably.,Medium,Resolved,2023-01-01
CMP044801,C003,P0125,CUST06723,comfort,The product is uncomfortable during long use.,Medium,Open,2023-01-01
CMP013083,C008,P0378,CUST02053,delivery,My order arrived late.,Critical,Open,2023-01-01
CMP047039,C006,P0285,CUST02559,quality,The product stopped working properly after a short time.,High,Resolved,2023-01-01
CMP048229,C005,P0221,CUST00900,comfort,The design causes discomfort after extended use.,High,Resolved,2023-01-01
CMP036184,C008,P0373,CUST03731,comfort,The product is uncomfortable during long use.,Low,Closed,2023-01-01
CMP016641,C004,P0162,CUST06737,quality,The product does not feel durable.,High,In Progress,2023-01-01
CMP014534,C007,P0341,CUST07545,battery,Battery performance has become poor.,High,Resolved,2023-01-01
CMP016599,C004,P0170,CUST09083,performance,The product is slow and sometimes stops responding.,Low,Resolved,2023-01-01
CMP019240,C006,P0271,CUST01016,battery,Battery life is much lower than expected.,High,In Progress,2023-01-01
CMP034300,C003,P0127,CUST08507,battery,The battery drains very quickly.,Medium,In Progress,2023-01-01
CMP022629,C005,P0242,CUST03502,battery,Battery performance has become poor.,Critical,Resolved,2023-01-01
CMP023793,C002,P0098,CUST05850,delivery,The product was delivered later than expected.,High,Open,2023-01-01
CMP030352,C010,P0465,CUST05687,quality,The product stopped working properly after a short time.,Medium,Closed,2023-01-01
CMP007212,C003,P0108,CUST00647,battery,The battery drains very quickly.,Low,Closed,2023-01-01
CMP029935,C004,P0167,CUST06387,quality,The product stopped working properly after a short time.,Low,Closed,2023-01-01
CMP011901,C006,P0268,CUST07926,battery,Battery performance has become poor.,Medium,Resolved,2023-01-01
CMP013574,C006,P0283,CUST05452,price,The product is too expensive for its quality.,Low,Closed,2023-01-01
CMP043873,C004,P0191,CUST09532,quality,The product quality is disappointing.,High,In Progress,2023-01-01
CMP023228,C006,P0298,CUST04158,delivery,The delivery process was disappointing.,High,Resolved,2023-01-02
CMP016201,C006,P0260,CUST06450,price,I expected better quality at this price.,Medium,Closed,2023-01-02
CMP047948,C010,P0488,CUST03817,price,The product is too expensive for its quality.,Low,Closed,2023-01-02
CMP013430,C004,P0186,CUST02208,quality,The product stopped working properly after a short time.,Critical,Resolved,2023-01-02
CMP037111,C010,P0456,CUST04557,battery,Battery life is much lower than expected.,Low,Closed,2023-01-02
CMP001213,C005,P0226,CUST02682,quality,The product does not feel durable.,Low,Closed,2023-01-02
CMP015598,C001,P0039,CUST01796,quality,The product quality is disappointing.,High,Resolved,2023-01-02
CMP022549,C005,P0206,CUST01870,battery,Battery performance has become poor.,High,In Progress,2023-01-02
CMP045831,C002,P0067,CUST01633,performance,The product performance is not as expected.,Medium,In Progress,2023-01-02
CMP047666,C005,P0238,CUST04466,comfort,The product needs a more comfortable design.,Medium,Resolved,2023-01-02
CMP032696,C010,P0479,CUST07301,quality,The build quality could be much better.,Medium,Closed,2023-01-02
CMP017742,C004,P0182,CUST05471,battery,I have to charge the product too frequently.,Low,Resolved,2023-01-02
CMP024278,C005,P0210,CUST07404,battery,I have to charge the product too frequently.,Low,Resolved,2023-01-02
CMP006726,C009,P0447,CUST04840,performance,The performance has become inconsistent.,Medium,Resolved,2023-01-02
CMP024521,C005,P0240,CUST04787,software,The software is difficult to use.,High,Resolved,2023-01-02
CMP024579,C005,P0239,CUST00332,battery,I have to charge the product too frequently.,High,Open,2023-01-02
CMP032716,C007,P0350,CUST04766,quality,The product does not feel durable.,Medium,Closed,2023-01-02
CMP018188,C008,P0394,CUST05514,performance,The product does not work reliably.,High,Closed,2023-01-02
CMP048946,C005,P0201,CUST08365,software,The product software needs improvement.,Medium,Resolved,2023-01-02
CMP020766,C004,P0173,CUST02617,performance,The product is slow and sometimes stops responding.,Medium,Open,2023-01-02
CMP021006,C009,P0414,CUST07625,comfort,The product needs a more comfortable design.,Medium,Resolved,2023-01-02
CMP017420,C007,P0318,CUST09282,battery,Battery life is much lower than expected.,Medium,Resolved,2023-01-02
CMP001939,C004,P0171,CUST01798,performance,The product does not work reliably.,Medium,Resolved,2023-01-02
CMP046385,C010,P0484,CUST03132,battery,The battery drains very quickly.,Medium,Resolved,2023-01-02
CMP020162,C008,P0364,CUST07693,battery,Battery performance has become poor.,High,Resolved,2023-01-02
CMP004042,C001,P0019,CUST08979,quality,The product does not feel durable.,Medium,Resolved,2023-01-02
CMP024663,C009,P0411,CUST04447,quality,The build quality could be much better.,High,Closed,2023-01-02
CMP040047,C002,P0099,CUST00459,performance,The product performance is not as expected.,High,Resolved,2023-01-02
CMP011304,C006,P0283,CUST03190,quality,The build quality could be much better.,Medium,Resolved,2023-01-02
CMP023787,C006,P0257,CUST07498,software,The application frequently crashes.,Medium,Open,2023-01-02
CMP031690,C007,P0321,CUST03823,comfort,The design causes discomfort after extended use.,High,Open,2023-01-02
CMP002883,C008,P0371,CUST09517,battery,The battery drains very quickly.,High,Resolved,2023-01-02
CMP026766,C005,P0237,CUST00888,quality,The build quality could be much better.,Low,In Progress,2023-01-02
CMP027069,C007,P0334,CUST02806,quality,The product does not feel durable.,Medium,Closed,2023-01-02
CMP044667,C008,P0399,CUST00091,battery,The battery drains very quickly.,Low,Resolved,2023-01-02
CMP042870,C006,P0297,CUST04053,performance,The product does not work reliably.,Medium,Resolved,2023-01-02
CMP019671,C001,P0019,CUST00974,price,The price does not seem justified.,Medium,Resolved,2023-01-02
CMP042494,C002,P0096,CUST08553,performance,The performance has become inconsistent.,Medium,Resolved,2023-01-02
CMP003155,C005,P0240,CUST09665,delivery,The product was delivered later than expected.,Medium,Resolved,2023-01-02
CMP042438,C003,P0137,CUST09775,performance,The product does not work reliably.,Medium,Closed,2023-01-02
CMP022898,C010,P0499,CUST07264,software,The software has several problems.,Medium,Resolved,2023-01-02
CMP014265,C004,P0197,CUST02139,comfort,The product is uncomfortable during long use.,Medium,Resolved,2023-01-02
CMP000761,C004,P0191,CUST06429,price,The price does not seem justified.,High,Resolved,2023-01-02
CMP003127,C008,P0378,CUST01750,quality,The product quality is disappointing.,Critical,In Progress,2023-01-02
CMP019432,C010,P0495,CUST03994,battery,Battery life is much lower than expected.,Medium,Resolved,2023-01-02
CMP019428,C008,P0377,CUST08004,battery,I have to charge the product too frequently.,High,In Progress,2023-01-02
CMP005600,C002,P0079,CUST08975,price,I expected better quality at this price.,High,Resolved,2023-01-02
CMP018791,C009,P0402,CUST01999,delivery,The delivery process was disappointing.,Medium,Resolved,2023-01-02
CMP019859,C008,P0369,CUST04530,performance,The product is slow and sometimes stops responding.,High,Open,2023-01-02
CMP026286,C010,P0490,CUST03902,battery,I have to charge the product too frequently.,Medium,Resolved,2023-01-02
CMP041532,C002,P0061,CUST07088,battery,I have to charge the product too frequently.,High,In Progress,2023-01-02
CMP001629,C001,P0025,CUST05884,delivery,The delivery process was disappointing.,Medium,In Progress,2023-01-03
CMP009669,C006,P0283,CUST04127,performance,The performance has become inconsistent.,Medium,Closed,2023-01-03
CMP026909,C009,P0404,CUST05052,battery,Battery performance has become poor.,High,Resolved,2023-01-03
CMP011765,C009,P0415,CUST05262,comfort,The design causes discomfort after extended use.,Medium,Resolved,2023-01-03
CMP007238,C009,P0434,CUST00357,software,The software has several problems.,Low,Resolved,2023-01-03
CMP032393,C002,P0093,CUST05769,software,The product software needs improvement.,Medium,Resolved,2023-01-03
CMP024409,C006,P0300,CUST06987,comfort,The design causes discomfort after extended use.,Medium,Closed,2023-01-03
CMP031271,C007,P0338,CUST05095,delivery,My order arrived late.,Medium,Closed,2023-01-03
CMP029626,C001,P0014,CUST01463,quality,The product does not feel durable.,High,Resolved,2023-01-03
CMP010455,C007,P0310,CUST07972,battery,Battery performance has become poor.,High,Closed,2023-01-03
CMP013319,C005,P0218,CUST07787,delivery,My order arrived late.,Critical,Open,2023-01-03
CMP026162,C003,P0121,CUST04066,battery,The battery drains very quickly.,Medium,Closed,2023-01-03
CMP036439,C003,P0101,CUST09235,delivery,The product was delivered later than expected.,Medium,Resolved,2023-01-03
CMP042878,C001,P0031,CUST08532,software,The product software needs improvement.,Medium,Closed,2023-01-03
CMP044513,C005,P0210,CUST08484,battery,The battery drains very quickly.,Medium,In Progress,2023-01-03
CMP047751,C007,P0341,CUST07759,delivery,The delivery process was disappointing.,Low,In Progress,2023-01-03
CMP020710,C009,P0407,CUST09288,battery,Battery life is much lower than expected.,High,Resolved,2023-01-03
CMP021632,C003,P0137,CUST07984,price,I expected better quality at this price.,Medium,Closed,2023-01-03
CMP004626,C007,P0319,CUST01011,battery,The battery drains very quickly.,High,Closed,2023-01-03
CMP017054,C006,P0262,CUST05015,battery,Battery life is much lower than expected.,Medium,In Progress,2023-01-03
CMP020406,C003,P0126,CUST05910,battery,The battery drains very quickly.,Low,Resolved,2023-01-03
CMP012537,C007,P0344,CUST07453,price,The product is too expensive for its quality.,High,Closed,2023-01-03
CMP022845,C006,P0266,CUST03221,comfort,The product needs a more comfortable design.,Medium,Closed,2023-01-03
CMP027142,C008,P0361,CUST08193,quality,The product stopped working properly after a short time.,Medium,Resolved,2023-01-03
CMP026009,C008,P0396,CUST08683,price,I expected better quality at this price.,Medium,Open,2023-01-03
CMP019173,C008,P0369,CUST04310,quality,The build quality could be much better.,Low,Closed,2023-01-03
CMP043702,C008,P0360,CUST04754,battery,The battery drains very quickly.,Medium,Resolved,2023-01-03
CMP038255,C008,P0372,CUST08520,battery,I have to charge the product too frequently.,Medium,Resolved,2023-01-03
CMP037942,C008,P0399,CUST07987,comfort,The product is uncomfortable during long use.,High,Open,2023-01-03
CMP030870,C006,P0284,CUST07797,quality,The product does not feel durable.,Medium,Resolved,2023-01-03
CMP037981,C006,P0300,CUST03216,battery,Battery performance has become poor.,Medium,Resolved,2023-01-03
CMP018223,C009,P0410,CUST03173,quality,The product stopped working properly after a short time.,Low,Resolved,2023-01-03
CMP037473,C005,P0248,CUST06813,battery,Battery life is much lower than expected.,Medium,Open,2023-01-03
CMP027325,C010,P0469,CUST06989,comfort,The product is uncomfortable during long use.,High,Resolved,2023-01-03
CMP002427,C004,P0197,CUST04703,quality,The build quality could be much better.,Critical,Resolved,2023-01-03
CMP025664,C007,P0333,CUST06388,quality,The product does not feel durable.,Low,Resolved,2023-01-03
CMP048050,C005,P0235,CUST06981,price,The price does not seem justified.,High,In Progress,2023-01-03
CMP035517,C007,P0318,CUST00877,performance,The product is slow and sometimes stops responding.,High,Closed,2023-01-03
CMP032919,C006,P0271,CUST07707,quality,The product does not feel durable.,High,Resolved,2023-01-03
CMP022699,C007,P0322,CUST01267,battery,The battery drains very quickly.,Low,Resolved,2023-01-03
CMP018356,C004,P0161,CUST09083,quality,The product does not feel durable.,Low,Resolved,2023-01-03
CMP018064,C005,P0207,CUST07154,performance,The product performance is not as expected.,Medium,Resolved,2023-01-03
CMP025417,C010,P0500,CUST03122,battery,Battery life is much lower than expected.,Low,Closed,2023-01-03
CMP029089,C008,P0390,CUST01575,delivery,My order arrived late.,Medium,Open,2023-01-03
CMP037045,C003,P0111,CUST02172,performance,The product is slow and sometimes stops responding.,Medium,Resolved,2023-01-03
CMP025158,C002,P0066,CUST03535,battery,Battery performance has become poor.,High,Closed,2023-01-03
CMP010755,C003,P0111,CUST05393,quality,The product stopped working properly after a short time.,Critical,Resolved,2023-01-03
CMP020053,C001,P0024,CUST03195,performance,The performance has become inconsistent.,Medium,Closed,2023-01-03
CMP000506,C002,P0073,CUST02787,comfort,The product needs a more comfortable design.,Low,Resolved,2023-01-03
CMP017621,C005,P0209,CUST01889,comfort,The design causes discomfort after extended use.,Medium,Resolved,2023-01-03
CMP034695,C002,P0098,CUST08251,battery,Battery performance has become poor.,Low,Resolved,2023-01-03
CMP014323,C007,P0305,CUST03442,battery,Battery life is much lower than expected.,Low,Resolved,2023-01-03
CMP044829,C007,P0305,CUST06856,delivery,My order arrived late.,High,Resolved,2023-01-03
CMP013040,C002,P0052,CUST05490,quality,The product does not feel durable.,Medium,Resolved,2023-01-03
CMP044809,C002,P0071,CUST01527,comfort,The design causes discomfort after extended use.,Medium,Open,2023-01-03
CMP003286,C007,P0340,CUST00390,quality,The product stopped working properly after a short time.,High,Closed,2023-01-04
CMP003764,C005,P0234,CUST02517,quality,The product quality is disappointing.,Low,Resolved,2023-01-04
CMP049987,C002,P0080,CUST00320,quality,The build quality could be much better.,High,Resolved,2023-01-04
CMP010869,C008,P0371,CUST04686,software,The software has several problems.,Critical,Closed,2023-01-04
CMP018505,C003,P0128,CUST08357,battery,Battery life is much lower than expected.,High,In Progress,2023-01-04
CMP027974,C009,P0429,CUST06210,quality,The product does not feel durable.,High,Resolved,2023-01-04
CMP031451,C003,P0146,CUST09070,quality,The product quality is disappointing.,High,Resolved,2023-01-04
CMP018357,C006,P0255,CUST06157,quality,The build quality could be much better.,Medium,Resolved,2023-01-04
CMP043907,C008,P0390,CUST09897,battery,Battery performance has become poor.,Low,Resolved,2023-01-04
CMP037833,C009,P0427,CUST06613,software,The software is difficult to use.,High,Resolved,2023-01-04
CMP010369,C006,P0284,CUST00014,comfort,The design causes discomfort after extended use.,Low,Resolved,2023-01-04
CMP049424,C002,P0082,CUST00489,performance,The product does not work reliably.,Medium,Closed,2023-01-04
CMP031396,C003,P0105,CUST02739,quality,The product does not feel durable.,Medium,Resolved,2023-01-04
CMP015184,C005,P0226,CUST01894,battery,Battery performance has become poor.,High,Resolved,2023-01-04
CMP019278,C003,P0107,CUST00484,quality,The build quality could be much better.,Medium,Resolved,2023-01-04
CMP029472,C006,P0276,CUST09976,comfort,The product needs a more comfortable design.,High,Closed,2023-01-04
CMP032013,C005,P0239,CUST03326,battery,The battery drains very quickly.,Low,Resolved,2023-01-04
CMP024530,C007,P0350,CUST07850,performance,The product is slow and sometimes stops responding.,High,Closed,2023-01-04
CMP034654,C006,P0259,CUST04541,battery,Battery life is much lower than expected.,Medium,In Progress,2023-01-04
CMP017426,C004,P0187,CUST02471,battery,The battery drains very quickly.,Medium,Closed,2023-01-04
CMP033805,C004,P0164,CUST01655,comfort,The product is uncomfortable during long use.,Medium,Open,2023-01-04
CMP024360,C005,P0241,CUST09226,battery,The battery drains very quickly.,Medium,Resolved,2023-01-04
CMP001349,C010,P0474,CUST05723,delivery,My order arrived late.,Low,Closed,2023-01-04
CMP049845,C008,P0397,CUST04723,quality,The build quality could be much better.,Medium,Resolved,2023-01-04
CMP039385,C004,P0198,CUST02321,performance,The performance has become inconsistent.,High,Resolved,2023-01-04
CMP004556,C010,P0491,CUST04605,comfort,The product is uncomfortable during long use.,High,Closed,2023-01-04
CMP046806,C002,P0084,CUST02770,delivery,The product was delivered later than expected.,High,Open,2023-01-04
CMP020629,C007,P0346,CUST09528,quality,The product quality is disappointing.,Medium,Closed,2023-01-04
CMP036837,C010,P0465,CUST03005,price,I expected better quality at this price.,Medium,Resolved,2023-01-04
CMP043123,C003,P0148,CUST09235,performance,The performance has become inconsistent.,Medium,Closed,2023-01-04
CMP006746,C006,P0259,CUST08339,price,The product is too expensive for its quality.,Medium,Resolved,2023-01-04
CMP046171,C009,P0427,CUST07240,delivery,The product was delivered later than expected.,Medium,In Progress,2023-01-04
CMP008903,C001,P0005,CUST08155,quality,The product does not feel durable.,Medium,Resolved,2023-01-04
CMP023943,C003,P0131,CUST06066,performance,The product does not work reliably.,Medium,Resolved,2023-01-04
CMP043229,C004,P0178,CUST03002,performance,The product is slow and sometimes stops responding.,Low,Closed,2023-01-04
CMP019218,C005,P0244,CUST04469,quality,The product does not feel durable.,Low,Resolved,2023-01-04
CMP003121,C005,P0233,CUST00236,quality,The product does not feel durable.,High,Resolved,2023-01-04
CMP031771,C006,P0284,CUST01737,delivery,The delivery process was disappointing.,Medium,In Progress,2023-01-04
CMP036989,C007,P0318,CUST08441,quality,The product does not feel durable.,Medium,Resolved,2023-01-05
CMP037275,C002,P0093,CUST04488,battery,Battery performance has become poor.,High,Resolved,2023-01-05
CMP007147,C004,P0161,CUST06188,comfort,The product is uncomfortable during long use.,Low,Resolved,2023-01-05
CMP030166,C002,P0058,CUST05165,battery,Battery life is much lower than expected.,High,Resolved,2023-01-05
CMP020658,C010,P0455,CUST08195,comfort,The product is uncomfortable during long use.,Medium,Resolved,2023-01-05
CMP008932,C003,P0134,CUST02194,performance,The product is slow and sometimes stops responding.,Medium,Resolved,2023-01-05
CMP019029,C003,P0107,CUST05462,quality,The product does not feel durable.,Low,Resolved,2023-01-05
CMP044515,C003,P0140,CUST06720,comfort,The product needs a more comfortable design.,Medium,In Progress,2023-01-05
CMP044588,C002,P0100,CUST04688,comfort,The product needs a more comfortable design.,Medium,Resolved,2023-01-05
CMP009865,C006,P0285,CUST02912,quality,The build quality could be much better.,Low,Closed,2023-01-05
CMP009874,C004,P0158,CUST05590,comfort,The design causes discomfort after extended use.,High,Open,2023-01-05
CMP041680,C007,P0304,CUST04802,quality,The product stopped working properly after a short time.,High,Resolved,2023-01-05
CMP019906,C002,P0069,CUST07235,quality,The build quality could be much better.,Low,Resolved,2023-01-05
CMP045629,C008,P0389,CUST02665,quality,The product quality is disappointing.,Medium,Open,2023-01-05
CMP040908,C009,P0449,CUST00613,performance,The performance has become inconsistent.,Low,In Progress,2023-01-05
CMP016197,C005,P0204,CUST08488,performance,The product does not work reliably.,Medium,Resolved,2023-01-05
CMP008145,C002,P0063,CUST06833,price,The price does not seem justified.,Medium,Resolved,2023-01-05
CMP040570,C008,P0386,CUST01588,software,The product software needs improvement.,High,Resolved,2023-01-05
CMP045994,C009,P0426,CUST03989,comfort,The product is uncomfortable during long use.,Medium,Closed,2023-01-05
CMP040482,C007,P0331,CUST05245,quality,The build quality could be much better.,High,Closed,2023-01-05
CMP007968,C002,P0083,CUST07612,performance,The performance has become inconsistent.,Critical,In Progress,2023-01-05
CMP029030,C009,P0401,CUST07240,comfort,The product is uncomfortable during long use.,Critical,In Progress,2023-01-05
CMP002820,C010,P0471,CUST02557,battery,The battery drains very quickly.,Low,Resolved,2023-01-05
CMP020378,C009,P0414,CUST01036,software,The product software needs improvement.,Medium,Resolved,2023-01-05
CMP039133,C006,P0294,CUST05184,price,The product is too expensive for its quality.,Medium,Open,2023-01-05
CMP029956,C004,P0179,CUST09364,price,The price does not seem justified.,Medium,Resolved,2023-01-05
CMP030205,C010,P0492,CUST06892,quality,The product stopped working properly after a short time.,Medium,Closed,2023-01-05
CMP001219,C004,P0199,CUST02821,delivery,The product was delivered later than expected.,Medium,Open,2023-01-05
CMP048332,C004,P0158,CUST06147,battery,Battery life is much lower than expected.,Medium,In Progress,2023-01-05
CMP026219,C005,P0217,CUST04032,battery,I have to charge the product too frequently.,Medium,Closed,2023-01-05
CMP035160,C002,P0095,CUST00211,battery,I have to charge the product too frequently.,Medium,Resolved,2023-01-05
CMP049482,C002,P0058,CUST03615,comfort,The product is uncomfortable during long use.,Medium,Resolved,2023-01-05
CMP033172,C004,P0191,CUST04122,comfort,The product needs a more comfortable design.,Critical,Open,2023-01-05
CMP014946,C007,P0319,CUST01405,delivery,The product was delivered later than expected.,High,Closed,2023-01-05
CMP049813,C002,P0083,CUST01048,quality,The product quality is disappointing.,Low,Resolved,2023-01-05
CMP003915,C003,P0127,CUST03689,battery,Battery life is much lower than expected.,Low,Open,2023-01-05
CMP014809,C010,P0461,CUST07201,quality,The product quality is disappointing.,Critical,Closed,2023-01-05
CMP035556,C010,P0475,CUST02452,price,I expected better quality at this price.,Critical,Closed,2023-01-05
CMP014915,C009,P0424,CUST03064,quality,The build quality could be much better.,Medium,Closed,2023-01-05
CMP032444,C006,P0270,CUST08782,battery,The battery drains very quickly.,Low,In Progress,2023-01-05
CMP035683,C006,P0271,CUST01545,price,The product is too expensive for its quality.,High,Resolved,2023-01-05
CMP015379,C009,P0418,CUST01683,software,The software is difficult to use.,Medium,Closed,2023-01-05
CMP022685,C010,P0462,CUST01411,battery,I have to charge the product too frequently.,Low,Closed,2023-01-05
CMP032219,C005,P0203,CUST03714,performance,The performance has become inconsistent.,Medium,Resolved,2023-01-05
CMP007842,C006,P0257,CUST05752,comfort,The design causes discomfort after extended use.,Low,Resolved,2023-01-06
CMP003918,C002,P0066,CUST00871,quality,The product stopped working properly after a short time.,High,Resolved,2023-01-06
CMP000136,C005,P0235,CUST05252,comfort,The design causes discomfort after extended use.,Medium,Resolved,2023-01-06
CMP048602,C010,P0493,CUST07514,quality,The product does not feel durable.,Medium,Open,2023-01-06
CMP039716,C005,P0227,CUST03760,software,The application frequently crashes.,High,Closed,2023-01-06
CMP031279,C006,P0292,CUST04507,battery,Battery performance has become poor.,High,Resolved,2023-01-06
CMP003605,C002,P0081,CUST01790,comfort,The design causes discomfort after extended use.,Medium,Closed,2023-01-06
CMP033285,C007,P0309,CUST08722,comfort,The design causes discomfort after extended use.,Medium,In Progress,2023-01-06
CMP041122,C001,P0016,CUST05756,battery,I have to charge the product too frequently.,Low,Closed,2023-01-06
CMP021109,C005,P0241,CUST05466,performance,The performance has become inconsistent.,Low,Closed,2023-01-06
CMP019926,C004,P0163,CUST07602,quality,The product stopped working properly after a short time.,Medium,Resolved,2023-01-06
CMP015133,C004,P0190,CUST04054,battery,I have to charge the product too frequently.,Medium,Closed,2023-01-06
CMP049495,C005,P0241,CUST07162,battery,Battery life is much lower than expected.,Low,Open,2023-01-06
CMP016555,C002,P0063,CUST06969,delivery,My order arrived late.,Low,Closed,2023-01-06
CMP005592,C004,P0197,CUST06180,battery,Battery performance has become poor.,Medium,Resolved,2023-01-06
CMP041466,C010,P0486,CUST00814,quality,The product does not feel durable.,High,Closed,2023-01-06
CMP034355,C009,P0450,CUST05250,battery,Battery performance has become poor.,Medium,Resolved,2023-01-06
CMP014920,C010,P0481,CUST02834,delivery,My order arrived late.,Medium,Resolved,2023-01-06
CMP014485,C008,P0373,CUST04323,battery,Battery life is much lower than expected.,Medium,Resolved,2023-01-06
CMP027901,C007,P0307,CUST00327,price,The product is too expensive for its quality.,Medium,Closed,2023-01-06
CMP022319,C010,P0471,CUST01543,delivery,The delivery process was disappointing.,Medium,Resolved,2023-01-06
CMP047840,C009,P0402,CUST03989,battery,I have to charge the product too frequently.,Medium,In Progress,2023-01-06
CMP002761,C002,P0068,CUST08776,price,The product is too expensive for its quality.,High,Resolved,2023-01-06
CMP043377,C002,P0070,CUST07496,quality,The build quality could be much better.,Medium,Resolved,2023-01-06
CMP021958,C008,P0356,CUST09073,quality,The product does not feel durable.,Critical,Resolved,2023-01-06
CMP033524,C006,P0280,CUST05967,comfort,The product needs a more comfortable design.,Medium,Open,2023-01-06
CMP011429,C010,P0494,CUST02068,delivery,My order arrived late.,Medium,Resolved,2023-01-06
CMP027178,C008,P0364,CUST07107,price,I expected better quality at this price.,Medium,Resolved,2023-01-06
CMP038651,C004,P0166,CUST01054,battery,The battery drains very quickly.,Low,Resolved,2023-01-06
CMP045969,C005,P0244,CUST09622,battery,Battery life is much lower than expected.,High,In Progress,2023-01-06
CMP008684,C005,P0223,CUST05282,battery,The battery drains very quickly.,High,Resolved,2023-01-06
CMP043944,C008,P0362,CUST09583,quality,The product stopped working properly after a short time.,High,Resolved,2023-01-06
CMP038376,C007,P0305,CUST03803,comfort,The design causes discomfort after extended use.,Low,In Progress,2023-01-06
CMP029065,C010,P0495,CUST03258,quality,The product stopped working properly after a short time.,Medium,Resolved,2023-01-06
CMP028758,C005,P0226,CUST04339,comfort,The design causes discomfort after extended use.,High,Resolved,2023-01-06
CMP002664,C008,P0384,CUST07882,software,The product software needs improvement.,Low,In Progress,2023-01-06
CMP004787,C008,P0395,CUST04869,battery,Battery performance has become poor.,High,In Progress,2023-01-06
CMP049162,C004,P0170,CUST03042,battery,The battery drains very quickly.,Low,In Progress,2023-01-06
CMP029339,C009,P0412,CUST02196,software,The product software needs improvement.,Critical,Resolved,2023-01-06
CMP013821,C007,P0317,CUST09286,quality,The product quality is disappointing.,High,Resolved,2023-01-06
CMP009091,C006,P0291,CUST03091,comfort,The product is uncomfortable during long use.,Low,Closed,2023-01-06
CMP036568,C007,P0348,CUST08638,quality,The build quality could be much better.,High,Resolved,2023-01-06
CMP020958,C006,P0299,CUST04148,price,The product is too expensive for its quality.,Low,Resolved,2023-01-06
CMP041527,C003,P0116,CUST02702,software,The software has several problems.,Low,Closed,2023-01-06
CMP046343,C001,P0005,CUST04597,quality,The build quality could be much better.,Medium,Closed,2023-01-06
CMP000116,C002,P0068,CUST07489,performance,The product is slow and sometimes stops responding.,Medium,Resolved,2023-01-06
CMP030260,C002,P0063,CUST04600,software,The software has several problems.,High,Open,2023-01-06
CMP027363,C008,P0366,CUST07236,battery,The battery drains very quickly.,Medium,Closed,2023-01-06
CMP038077,C004,P0198,CUST03658,software,The software has several problems.,Critical,Resolved,2023-01-07
CMP042771,C010,P0466,CUST06958,battery,Battery life is much lower than expected.,High,Open,2023-01-07
CMP038666,C005,P0244,CUST09837,quality,The product quality is disappointing.,Medium,Resolved,2023-01-07
CMP021661,C006,P0285,CUST00833,performance,The performance has become inconsistent.,Medium,Resolved,2023-01-07
CMP033957,C007,P0315,CUST00996,battery,The battery drains very quickly.,Low,Closed,2023-01-07
