review_id,company_id,product_id,customer_id,review_text,rating,review_date,verified_purchase
REV009075,C006,P0264,CUST09838,I really like this product. The design is excellent.,5.0,2023-01-01,False
REV005494,C008,P0362,CUST02706,The product works perfectly and looks premium.,5.0,2023-01-01,True
REV008092,C003,P0129,CUST04134,The product works perfectly and looks premium.,5.0,2023-01-02,True
REV022466,C003,P0105,CUST00741,I am very satisfied with the performance.,4.0,2023-01-02,True
REV004100,C009,P0445,CUST00883,"Good performance, but the price is too high.",4.0,2023-01-02,True
REV016268,C008,P0392,CUST00319,"Nothing special, but it gets the job done.",3.0,2023-01-02,False
REV017144,C004,P0189,CUST06061,The quality could be much better.,1.0,2023-01-02,True
REV036095,C006,P0276,CUST04403,"The quality is good, although the software needs improvement.",3.0,2023-01-02,True
REV022722,C005,P0237,CUST04422,It performs reasonably well.,3.0,2023-01-02,True
REV045589,C003,P0115,CUST06112,The design is attractive and the product feels durable.,5.0,2023-01-02,True
REV029931,C005,P0213,CUST05162,I really like this product. The design is excellent.,5.0,2023-01-02,False
REV001788,C002,P0059,CUST03141,Excellent value for the price.,5.0,2023-01-02,True
REV033452,C010,P0486,CUST08863,The product works perfectly and looks premium.,5.0,2023-01-02,False
REV045884,C003,P0115,CUST04164,It performs reasonably well.,3.0,2023-01-02,True
REV026273,C002,P0072,CUST03007,The product feels too expensive for its quality.,2.0,2023-01-02,False
REV020170,C005,P0217,CUST07697,I am very satisfied with the performance.,4.0,2023-01-02,True
REV007968,C003,P0149,CUST05835,The product feels too expensive for its quality.,2.0,2023-01-02,True
REV025178,C002,P0078,CUST09876,The product works perfectly and looks premium.,5.0,2023-01-02,False
REV008557,C005,P0225,CUST05659,"Good performance, but the price is too high.",2.0,2023-01-02,True
REV046546,C010,P0469,CUST05021,I really like this product. The design is excellent.,4.0,2023-01-02,True
REV021285,C005,P0214,CUST07378,The design is excellent but the battery life is poor.,3.0,2023-01-02,True
REV028892,C006,P0297,CUST06872,"Good performance, but the price is too high.",3.0,2023-01-02,True
REV021064,C002,P0081,CUST09864,Very good quality and easy to use.,4.0,2023-01-02,False
REV021029,C008,P0400,CUST05565,The product is uncomfortable after long use.,1.0,2023-01-02,True
REV012937,C002,P0053,CUST07136,I really like this product. The design is excellent.,5.0,2023-01-02,False
REV021489,C006,P0292,CUST02988,The performance is not as good as expected.,1.0,2023-01-02,True
REV041264,C008,P0378,CUST06733,The product is okay and works as expected.,3.0,2023-01-02,False
REV015446,C001,P0006,CUST00383,Very good quality and easy to use.,4.0,2023-01-02,True
REV015664,C007,P0345,CUST01536,The product feels too expensive for its quality.,2.0,2023-01-02,True
REV034541,C007,P0324,CUST09168,The product is uncomfortable after long use.,2.0,2023-01-02,True
REV005456,C001,P0034,CUST03927,I am very satisfied with the performance.,4.0,2023-01-02,True
REV045436,C007,P0313,CUST08827,Overall it is a decent product.,3.0,2023-01-02,False
REV024155,C006,P0298,CUST00009,I really like this product. The design is excellent.,5.0,2023-01-02,True
REV014363,C005,P0240,CUST01549,The design is excellent but the battery life is poor.,3.0,2023-01-02,True
REV018000,C004,P0183,CUST02088,The battery life is disappointing.,1.0,2023-01-02,True
REV029263,C007,P0317,CUST04909,The product works perfectly and looks premium.,4.0,2023-01-02,True
REV007298,C006,P0257,CUST08565,The design is attractive and the product feels durable.,5.0,2023-01-02,True
REV025112,C004,P0162,CUST02587,I really like this product. The design is excellent.,4.0,2023-01-02,False
REV044673,C005,P0238,CUST02726,The product works perfectly and looks premium.,4.0,2023-01-02,True
REV002114,C008,P0352,CUST02658,It performs reasonably well.,3.0,2023-01-02,True
REV006077,C005,P0204,CUST03637,I really like this product. The design is excellent.,4.0,2023-01-02,True
REV005023,C009,P0444,CUST02723,The quality could be much better.,1.0,2023-01-03,True
REV035000,C005,P0243,CUST00453,"The quality is good, although the software needs improvement.",4.0,2023-01-03,True
REV031442,C008,P0396,CUST02879,I really like this product. The design is excellent.,5.0,2023-01-03,True
REV005096,C006,P0262,CUST05538,Very good quality and easy to use.,4.0,2023-01-03,True
REV042733,C007,P0310,CUST03884,Very good quality and easy to use.,5.0,2023-01-03,True
REV044069,C009,P0411,CUST06124,The quality could be much better.,2.0,2023-01-03,True
REV004996,C004,P0151,CUST09306,It performs reasonably well.,3.0,2023-01-03,True
REV003236,C007,P0344,CUST07353,Overall it is a decent product.,3.0,2023-01-03,True
REV043641,C005,P0216,CUST04299,Excellent value for the price.,4.0,2023-01-03,True
REV041777,C005,P0246,CUST08745,Very good quality and easy to use.,5.0,2023-01-03,True
REV007368,C009,P0447,CUST03829,I really like this product. The design is excellent.,4.0,2023-01-03,True
REV048027,C010,P0483,CUST09816,Excellent value for the price.,5.0,2023-01-03,True
REV039378,C001,P0038,CUST07104,The product looks great but it could be more comfortable.,2.0,2023-01-03,True
REV023840,C006,P0280,CUST00432,The product looks great but it could be more comfortable.,4.0,2023-01-03,False
REV049171,C005,P0241,CUST06326,The quality could be much better.,1.0,2023-01-03,True
REV017452,C010,P0467,CUST07679,The product feels too expensive for its quality.,1.0,2023-01-03,True
REV038213,C004,P0199,CUST06534,The battery life is disappointing.,1.0,2023-01-03,True
REV046303,C001,P0036,CUST09549,The performance is not as good as expected.,2.0,2023-01-03,True
REV009898,C006,P0285,CUST05435,"The quality is good, although the software needs improvement.",2.0,2023-01-03,True
REV022078,C003,P0123,CUST02444,I like the features but the battery could last longer.,2.0,2023-01-03,True
REV010483,C006,P0261,CUST03291,Excellent value for the price.,5.0,2023-01-03,True
REV020760,C003,P0110,CUST03972,"Good performance, but the price is too high.",4.0,2023-01-03,True
REV014174,C008,P0362,CUST06459,"Good performance, but the price is too high.",3.0,2023-01-03,True
REV010509,C006,P0268,CUST03181,I like the features but the battery could last longer.,4.0,2023-01-03,False
REV037340,C005,P0214,CUST05566,The product feels too expensive for its quality.,1.0,2023-01-03,True
REV039976,C003,P0137,CUST02630,"Good performance, but the price is too high.",2.0,2023-01-03,False
REV021758,C010,P0483,CUST05509,"Good performance, but the price is too high.",4.0,2023-01-03,False
REV018567,C003,P0126,CUST04832,The product looks great but it could be more comfortable.,3.0,2023-01-03,True
REV045970,C010,P0474,CUST02577,"The quality is good, although the software needs improvement.",3.0,2023-01-03,True
REV029536,C010,P0459,CUST06011,The performance is not as good as expected.,1.0,2023-01-03,False
REV005853,C003,P0137,CUST01392,The product is okay and works as expected.,3.0,2023-01-03,True
REV021703,C009,P0422,CUST01375,The quality is acceptable for the price.,3.0,2023-01-03,False
REV019547,C005,P0207,CUST07154,The product is okay and works as expected.,3.0,2023-01-03,False
REV029689,C009,P0401,CUST01924,"Good performance, but the price is too high.",4.0,2023-01-03,True
REV014121,C010,P0464,CUST08163,I really like this product. The design is excellent.,4.0,2023-01-03,True
REV047347,C006,P0295,CUST01183,The design is excellent but the battery life is poor.,3.0,2023-01-03,False
REV047775,C008,P0390,CUST00154,The quality could be much better.,2.0,2023-01-03,True
REV028323,C002,P0093,CUST02098,I really like this product. The design is excellent.,5.0,2023-01-03,True
REV026417,C010,P0463,CUST07290,The performance is not as good as expected.,1.0,2023-01-03,True
REV048090,C006,P0267,CUST03728,Very good quality and easy to use.,5.0,2023-01-03,False
REV032756,C001,P0039,CUST04656,The product is uncomfortable after long use.,2.0,2023-01-03,True
REV028122,C008,P0377,CUST00863,Excellent value for the price.,5.0,2023-01-03,True
REV007319,C002,P0094,CUST09228,The quality could be much better.,1.0,2023-01-04,True
REV034710,C004,P0191,CUST01075,I am very satisfied with the performance.,5.0,2023-01-04,True
REV024978,C001,P0023,CUST01607,Very good quality and easy to use.,5.0,2023-01-04,True
REV003383,C007,P0322,CUST09700,Very good quality and easy to use.,4.0,2023-01-04,True
REV005762,C006,P0268,CUST04403,Very good quality and easy to use.,4.0,2023-01-04,False
REV028383,C003,P0141,CUST01642,The quality is acceptable for the price.,3.0,2023-01-04,False
REV012359,C008,P0394,CUST01137,The product is uncomfortable after long use.,1.0,2023-01-04,True
REV041417,C004,P0200,CUST01478,Overall it is a decent product.,3.0,2023-01-04,True
REV010265,C006,P0292,CUST04590,"Good performance, but the price is too high.",2.0,2023-01-04,False
REV000918,C002,P0057,CUST02611,The product works perfectly and looks premium.,4.0,2023-01-04,True
REV033346,C003,P0104,CUST09124,The product feels too expensive for its quality.,1.0,2023-01-04,False
REV006770,C005,P0230,CUST09780,I really like this product. The design is excellent.,4.0,2023-01-04,False
REV009660,C006,P0286,CUST05348,Overall it is a decent product.,3.0,2023-01-04,False
REV042743,C008,P0382,CUST02476,The battery life is disappointing.,1.0,2023-01-04,True
REV010624,C009,P0423,CUST03302,I experienced several problems while using it.,1.0,2023-01-04,True
REV047475,C004,P0173,CUST05676,I really like this product. The design is excellent.,5.0,2023-01-04,True
REV026446,C009,P0409,CUST06866,I really like this product. The design is excellent.,5.0,2023-01-04,True
REV003069,C009,P0437,CUST08076,"Good performance, but the price is too high.",3.0,2023-01-04,False
REV031853,C001,P0041,CUST08575,I am very satisfied with the performance.,4.0,2023-01-04,True
REV006566,C006,P0289,CUST04565,"Nothing special, but it gets the job done.",3.0,2023-01-04,True
REV041771,C005,P0225,CUST01396,The product is okay and works as expected.,3.0,2023-01-04,True
REV033708,C009,P0445,CUST03730,The product feels too expensive for its quality.,2.0,2023-01-04,False
REV047782,C010,P0458,CUST04730,The product looks great but it could be more comfortable.,3.0,2023-01-04,True
REV032088,C003,P0150,CUST05127,The design is attractive and the product feels durable.,5.0,2023-01-04,True
REV014732,C006,P0281,CUST01545,The design is excellent but the battery life is poor.,3.0,2023-01-04,False
REV039214,C005,P0246,CUST07787,The product works perfectly and looks premium.,5.0,2023-01-04,True
REV014421,C009,P0403,CUST01036,I am very satisfied with the performance.,5.0,2023-01-04,True
REV011781,C001,P0004,CUST00425,Very good quality and easy to use.,4.0,2023-01-04,True
REV030245,C002,P0076,CUST01269,Overall it is a decent product.,3.0,2023-01-04,True
REV016738,C010,P0472,CUST08852,The product is okay and works as expected.,3.0,2023-01-04,True
REV017213,C006,P0273,CUST07250,"Nothing special, but it gets the job done.",3.0,2023-01-04,True
REV020863,C008,P0353,CUST07194,The product is uncomfortable after long use.,2.0,2023-01-04,True
REV036702,C001,P0019,CUST00362,Excellent value for the price.,5.0,2023-01-04,False
REV008541,C005,P0244,CUST02240,I am very satisfied with the performance.,5.0,2023-01-04,True
REV016567,C010,P0485,CUST00431,Excellent value for the price.,4.0,2023-01-04,True
REV030785,C001,P0049,CUST00388,Excellent value for the price.,5.0,2023-01-04,True
REV011303,C010,P0452,CUST06049,The battery life is disappointing.,2.0,2023-01-04,False
REV004594,C008,P0358,CUST04626,Overall it is a decent product.,3.0,2023-01-04,True
REV023711,C001,P0029,CUST00821,"Good performance, but the price is too high.",2.0,2023-01-04,True
REV042084,C010,P0481,CUST09860,The design is attractive and the product feels durable.,4.0,2023-01-04,False
REV023219,C004,P0189,CUST02504,"Good performance, but the price is too high.",4.0,2023-01-04,True
REV001500,C003,P0120,CUST06322,I like the features but the battery could last longer.,4.0,2023-01-04,True
REV022934,C006,P0271,CUST00056,Overall it is a decent product.,3.0,2023-01-04,True
REV023162,C006,P0261,CUST09487,The performance is not as good as expected.,2.0,2023-01-04,False
REV008148,C008,P0365,CUST01105,The design is attractive and the product feels durable.,5.0,2023-01-04,True
REV048552,C009,P0411,CUST06209,"The quality is good, although the software needs improvement.",3.0,2023-01-04,False
REV047278,C002,P0079,CUST06092,I am very satisfied with the performance.,5.0,2023-01-04,True
REV016035,C004,P0199,CUST05929,The product is okay and works as expected.,3.0,2023-01-05,False
REV000649,C007,P0338,CUST08337,The design is attractive and the product feels durable.,4.0,2023-01-05,True
REV006301,C009,P0413,CUST04585,Very good quality and easy to use.,5.0,2023-01-05,True
REV033224,C009,P0426,CUST09265,I really like this product. The design is excellent.,4.0,2023-01-05,True
REV032238,C003,P0111,CUST03688,The product works perfectly and looks premium.,5.0,2023-01-05,True
REV003303,C007,P0349,CUST09260,It performs reasonably well.,3.0,2023-01-05,False
REV014582,C003,P0113,CUST08437,Very good quality and easy to use.,4.0,2023-01-05,True
REV035094,C003,P0111,CUST02262,I really like this product. The design is excellent.,5.0,2023-01-05,True
REV004113,C007,P0340,CUST06566,The battery life is disappointing.,2.0,2023-01-05,True
REV012800,C005,P0242,CUST04568,The product works perfectly and looks premium.,4.0,2023-01-05,True
REV025135,C002,P0078,CUST09144,"Nothing special, but it gets the job done.",3.0,2023-01-05,True
REV024322,C007,P0327,CUST08531,I am very satisfied with the performance.,4.0,2023-01-05,True
REV045634,C001,P0033,CUST09162,I am very satisfied with the performance.,5.0,2023-01-05,False
REV040816,C001,P0026,CUST08874,Very good quality and easy to use.,4.0,2023-01-05,True
REV018392,C003,P0106,CUST01410,Excellent value for the price.,4.0,2023-01-05,True
REV044977,C002,P0084,CUST09914,The product works perfectly and looks premium.,5.0,2023-01-05,True
REV019584,C005,P0238,CUST05157,Overall it is a decent product.,3.0,2023-01-05,False
REV006611,C001,P0001,CUST02278,The design is attractive and the product feels durable.,5.0,2023-01-05,True
REV026340,C010,P0481,CUST01364,The performance is not as good as expected.,2.0,2023-01-05,True
REV003564,C010,P0473,CUST09035,Very good quality and easy to use.,4.0,2023-01-05,True
REV043097,C003,P0119,CUST00899,"The quality is good, although the software needs improvement.",2.0,2023-01-05,True
REV009690,C004,P0184,CUST08715,The design is attractive and the product feels durable.,4.0,2023-01-05,False
REV007905,C002,P0062,CUST04603,The design is attractive and the product feels durable.,5.0,2023-01-05,True
REV019518,C006,P0264,CUST05222,I really like this product. The design is excellent.,5.0,2023-01-05,False
REV010150,C001,P0031,CUST04244,I like the features but the battery could last longer.,3.0,2023-01-05,True
REV010365,C001,P0042,CUST05349,I like the features but the battery could last longer.,4.0,2023-01-05,True
REV032799,C002,P0064,CUST08273,I am very satisfied with the performance.,5.0,2023-01-05,False
REV034900,C004,P0155,CUST01859,The product is uncomfortable after long use.,1.0,2023-01-05,True
REV013801,C007,P0337,CUST00229,I experienced several problems while using it.,2.0,2023-01-05,True
REV002568,C009,P0449,CUST03303,"Good performance, but the price is too high.",2.0,2023-01-05,False
REV044561,C004,P0195,CUST06423,I really like this product. The design is excellent.,4.0,2023-01-05,True
REV034812,C008,P0369,CUST00603,The performance is not as good as expected.,2.0,2023-01-05,True
REV024537,C010,P0462,CUST01411,The design is attractive and the product feels durable.,5.0,2023-01-05,True
REV044348,C010,P0497,CUST03034,The design is attractive and the product feels durable.,4.0,2023-01-05,False
REV002811,C006,P0260,CUST03133,The design is excellent but the battery life is poor.,3.0,2023-01-05,False
REV044291,C002,P0097,CUST00912,"Good performance, but the price is too high.",4.0,2023-01-05,False
REV016657,C005,P0221,CUST05101,The product is uncomfortable after long use.,2.0,2023-01-05,True
REV030312,C003,P0133,CUST07788,Very good quality and easy to use.,5.0,2023-01-05,True
REV028605,C009,P0417,CUST04520,The design is attractive and the product feels durable.,4.0,2023-01-05,True
REV025050,C003,P0106,CUST00349,I am very satisfied with the performance.,4.0,2023-01-05,True
REV046212,C005,P0215,CUST03810,The design is excellent but the battery life is poor.,4.0,2023-01-05,False
REV046254,C007,P0327,CUST07759,I like the features but the battery could last longer.,2.0,2023-01-05,True
REV045241,C003,P0130,CUST03774,The product is okay and works as expected.,3.0,2023-01-05,False
REV035057,C010,P0486,CUST04449,"Good performance, but the price is too high.",4.0,2023-01-05,True
REV003380,C002,P0083,CUST09942,The design is attractive and the product feels durable.,4.0,2023-01-05,True
REV027672,C001,P0006,CUST06763,I experienced several problems while using it.,2.0,2023-01-05,False
REV038526,C007,P0337,CUST09745,I experienced several problems while using it.,1.0,2023-01-06,True
REV009294,C001,P0025,CUST00686,The quality is acceptable for the price.,3.0,2023-01-06,True
REV017960,C007,P0307,CUST08920,I experienced several problems while using it.,2.0,2023-01-06,True
REV023081,C003,P0139,CUST07408,The quality is acceptable for the price.,3.0,2023-01-06,True
REV026370,C006,P0280,CUST09341,Very good quality and easy to use.,5.0,2023-01-06,True
REV005611,C003,P0148,CUST02790,The product is okay and works as expected.,3.0,2023-01-06,False
REV041472,C010,P0489,CUST00088,Excellent value for the price.,5.0,2023-01-06,True
REV038090,C004,P0176,CUST04273,The product is okay and works as expected.,3.0,2023-01-06,True
REV029667,C010,P0485,CUST09543,The product looks great but it could be more comfortable.,3.0,2023-01-06,True
REV048900,C001,P0034,CUST07227,The performance is not as good as expected.,1.0,2023-01-06,True
REV000625,C008,P0356,CUST01333,Overall it is a decent product.,3.0,2023-01-06,True
REV011998,C003,P0143,CUST02539,Overall it is a decent product.,3.0,2023-01-06,True
REV006525,C006,P0258,CUST09689,I really like this product. The design is excellent.,5.0,2023-01-06,True
REV049601,C007,P0338,CUST03909,I really like this product. The design is excellent.,4.0,2023-01-06,False
REV009859,C008,P0367,CUST05493,"Good performance, but the price is too high.",2.0,2023-01-06,True
REV016392,C007,P0342,CUST09133,The product works perfectly and looks premium.,4.0,2023-01-06,False
REV041211,C007,P0332,CUST09503,"The quality is good, although the software needs improvement.",2.0,2023-01-06,True
REV036525,C003,P0135,CUST02255,Excellent value for the price.,5.0,2023-01-06,True
REV029380,C006,P0291,CUST05613,"Nothing special, but it gets the job done.",3.0,2023-01-06,False
REV029400,C008,P0351,CUST04714,Excellent value for the price.,5.0,2023-01-06,False
REV026823,C004,P0190,CUST03595,Overall it is a decent product.,3.0,2023-01-06,True
REV006444,C007,P0329,CUST05011,The product is okay and works as expected.,3.0,2023-01-06,True
REV016276,C009,P0444,CUST07604,The product is okay and works as expected.,3.0,2023-01-06,True
REV008471,C003,P0125,CUST09174,I am very satisfied with the performance.,5.0,2023-01-06,True
REV033762,C003,P0139,CUST05069,Excellent value for the price.,4.0,2023-01-06,True
REV042274,C006,P0292,CUST05946,I like the features but the battery could last longer.,3.0,2023-01-06,True
REV004734,C006,P0261,CUST00365,"Good performance, but the price is too high.",2.0,2023-01-06,True
REV004097,C010,P0480,CUST03772,I like the features but the battery could last longer.,3.0,2023-01-06,True
REV043865,C005,P0213,CUST06302,The product is okay and works as expected.,3.0,2023-01-06,False
REV014348,C009,P0423,CUST09794,Excellent value for the price.,4.0,2023-01-06,True
REV033793,C008,P0354,CUST04723,The performance is not as good as expected.,2.0,2023-01-06,False
REV007882,C008,P0359,CUST00746,I really like this product. The design is excellent.,5.0,2023-01-06,True
REV044123,C003,P0131,CUST01557,I really like this product. The design is excellent.,4.0,2023-01-06,True
REV002930,C003,P0106,CUST01869,"The quality is good, although the software needs improvement.",3.0,2023-01-06,True
REV000127,C001,P0018,CUST06252,I really like this product. The design is excellent.,4.0,2023-01-06,False
REV024949,C009,P0422,CUST05814,"Nothing special, but it gets the job done.",3.0,2023-01-06,True
REV024928,C009,P0408,CUST07481,Very good quality and easy to use.,5.0,2023-01-06,True
REV040544,C002,P0092,CUST05965,The product works perfectly and looks premium.,4.0,2023-01-06,True
REV007613,C006,P0266,CUST08883,Very good quality and easy to use.,5.0,2023-01-06,True
REV024139,C004,P0189,CUST06544,The design is attractive and the product feels durable.,5.0,2023-01-06,True
REV037876,C001,P0007,CUST00409,The performance is not as good as expected.,2.0,2023-01-06,False
REV003909,C006,P0264,CUST06987,I am very satisfied with the performance.,5.0,2023-01-06,True
REV001097,C008,P0391,CUST08802,The product is okay and works as expected.,3.0,2023-01-06,True
REV010626,C003,P0146,CUST02739,It performs reasonably well.,3.0,2023-01-06,False
REV040428,C002,P0070,CUST06845,"Nothing special, but it gets the job done.",3.0,2023-01-06,True
REV045086,C007,P0338,CUST07384,Overall it is a decent product.,3.0,2023-01-06,False
REV031414,C003,P0129,CUST07783,The quality is acceptable for the price.,3.0,2023-01-06,True
REV024293,C007,P0314,CUST08168,I really like this product. The design is excellent.,4.0,2023-01-06,True
REV034354,C001,P0022,CUST01455,I am very satisfied with the performance.,4.0,2023-01-06,True
REV046708,C001,P0014,CUST06206,"The quality is good, although the software needs improvement.",2.0,2023-01-07,True
REV027158,C009,P0421,CUST04442,The performance is not as good as expected.,2.0,2023-01-07,True
REV047305,C001,P0017,CUST00006,The design is excellent but the battery life is poor.,4.0,2023-01-07,True
REV039905,C005,P0239,CUST03637,Very good quality and easy to use.,4.0,2023-01-07,True
REV043543,C002,P0054,CUST08312,The product feels too expensive for its quality.,1.0,2023-01-07,True
REV039290,C009,P0404,CUST01777,The design is attractive and the product feels durable.,5.0,2023-01-07,True
REV007248,C005,P0230,CUST01237,"Good performance, but the price is too high.",2.0,2023-01-07,False
REV027422,C007,P0312,CUST07962,The battery life is disappointing.,2.0,2023-01-07,True
REV043979,C007,P0325,CUST07993,The product is uncomfortable after long use.,2.0,2023-01-07,True
REV002737,C004,P0175,CUST07161,The design is attractive and the product feels durable.,5.0,2023-01-07,True
REV015786,C002,P0063,CUST05958,I really like this product. The design is excellent.,4.0,2023-01-07,True
REV027474,C008,P0394,CUST03346,The quality could be much better.,1.0,2023-01-07,True
REV049787,C009,P0418,CUST00540,I really like this product. The design is excellent.,5.0,2023-01-07,True
REV010323,C004,P0197,CUST04988,It performs reasonably well.,3.0,2023-01-07,False
REV047550,C003,P0133,CUST02223,Excellent value for the price.,4.0,2023-01-07,True
REV004504,C010,P0495,CUST00807,I am very satisfied with the performance.,4.0,2023-01-07,True
REV046497,C006,P0255,CUST01973,The product is okay and works as expected.,3.0,2023-01-07,True
REV009960,C008,P0375,CUST07551,"Good performance, but the price is too high.",2.0,2023-01-07,False
REV028491,C003,P0150,CUST04190,The product looks great but it could be more comfortable.,3.0,2023-01-07,False
REV049996,C008,P0380,CUST05429,The quality is acceptable for the price.,3.0,2023-01-07,True
REV008840,C010,P0484,CUST08329,The performance is not as good as expected.,2.0,2023-01-07,True
REV005812,C005,P0203,CUST03937,"Good performance, but the price is too high.",3.0,2023-01-07,True
REV009203,C007,P0345,CUST05245,The battery life is disappointing.,2.0,2023-01-07,True
REV018964,C008,P0390,CUST02896,The product is okay and works as expected.,3.0,2023-01-07,True
REV046243,C004,P0183,CUST08581,I really like this product. The design is excellent.,4.0,2023-01-07,True
REV022156,C004,P0175,CUST02957,The design is attractive and the product feels durable.,4.0,2023-01-07,False
REV026848,C002,P0058,CUST00508,The product is okay and works as expected.,3.0,2023-01-07,True
REV040528,C001,P0002,CUST02439,I really like this product. The design is excellent.,4.0,2023-01-07,True
REV033182,C005,P0232,CUST00772,The quality is acceptable for the price.,3.0,2023-01-07,True
REV015769,C006,P0255,CUST09376,The design is excellent but the battery life is poor.,4.0,2023-01-07,True
REV047359,C007,P0350,CUST01838,The product looks great but it could be more comfortable.,4.0,2023-01-07,True
REV045800,C010,P0480,CUST06175,"The quality is good, although the software needs improvement.",2.0,2023-01-07,True
REV007022,C007,P0324,CUST00500,The design is attractive and the product feels durable.,4.0,2023-01-07,True
REV031299,C006,P0286,CUST07092,The design is attractive and the product feels durable.,5.0,2023-01-07,True
REV022999,C010,P0493,CUST03116,The design is excellent but the battery life is poor.,3.0,2023-01-07,False
REV001925,C004,P0170,CUST02894,I am very satisfied with the performance.,4.0,2023-01-07,False
REV002504,C005,P0216,CUST02531,The product looks great but it could be more comfortable.,2.0,2023-01-07,True
REV003438,C007,P0309,CUST09528,I am very satisfied with the performance.,4.0,2023-01-07,True
REV010708,C010,P0455,CUST01630,I am very satisfied with the performance.,4.0,2023-01-07,False
REV016002,C001,P0024,CUST03743,The design is attractive and the product feels durable.,4.0,2023-01-07,True
REV014983,C001,P0021,CUST01463,I like the features but the battery could last longer.,2.0,2023-01-07,False
REV007100,C005,P0231,CUST05101,The product looks great but it could be more comfortable.,2.0,2023-01-07,True
REV034187,C005,P0229,CUST08560,Very good quality and easy to use.,4.0,2023-01-07,True
REV002949,C002,P0058,CUST06576,The quality is acceptable for the price.,3.0,2023-01-07,True
REV042728,C009,P0432,CUST09380,The performance is not as good as expected.,2.0,2023-01-07,True
REV048131,C007,P0339,CUST08577,The design is excellent but the battery life is poor.,3.0,2023-01-08,True
REV011618,C007,P0301,CUST04524,The product works perfectly and looks premium.,5.0,2023-01-08,True
REV014175,C009,P0406,CUST05241,The product works perfectly and looks premium.,5.0,2023-01-08,True
REV035172,C007,P0310,CUST00317,I like the features but the battery could last longer.,2.0,2023-01-08,False
REV027973,C006,P0276,CUST00565,"Good performance, but the price is too high.",2.0,2023-01-08,False
REV045763,C001,P0002,CUST00388,The product is okay and works as expected.,3.0,2023-01-08,True
REV000903,C009,P0409,CUST09378,Very good quality and easy to use.,4.0,2023-01-08,True
REV029082,C004,P0191,CUST07465,I really like this product. The design is excellent.,5.0,2023-01-08,False
REV005422,C001,P0036,CUST04454,Excellent value for the price.,5.0,2023-01-08,True
