product_id,company_id,product_name,category,subcategory,description,launch_date,price,cost,rating,total_sales,return_rate,lifecycle_stage,status
P0058,C002,Bluetooth Speaker 58,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2022-06-21,36004,16493.07,3.9,74475,0.103,Decline,Active
P0059,C002,Air Purifier 59,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2024-02-16,4295,2267.96,3.8,60098,0.056,Mature,Discontinued
P0060,C002,Smartphone 60,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2022-05-21,31822,14504.94,4.1,46370,0.041,Introduction,Active
P0061,C002,Wireless Earbuds 61,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2025-03-01,2335,1486.0,3.6,62570,0.104,Growth,Discontinued
P0062,C002,Tablet 62,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-12-02,11996,7578.69,4.8,94656,0.026,Mature,Active
P0063,C002,Fitness Band 63,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2026-01-04,21444,13354.02,4.7,49692,0.066,Growth,Active
P0064,C002,Fitness Band 64,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2022-09-05,7678,5061.01,3.7,90187,0.094,Introduction,Active
P0065,C002,Smart Ring 65,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2024-05-10,44353,24889.63,4.1,45225,0.012,Decline,Active
P0066,C002,Smart Fan 66,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2024-12-04,42653,30602.35,4.0,20552,0.071,Mature,Discontinued
P0067,C002,Smart Fan 67,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2022-06-27,48908,30701.62,3.7,32677,0.126,Mature,Discontinued
P0068,C002,Headphones 68,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2023-10-28,38345,24276.2,3.8,4261,0.079,Growth,Discontinued
P0069,C002,Headphones 69,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2025-02-12,17931,9899.73,4.7,92405,0.133,Introduction,Active
P0070,C002,Smart Watch 70,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-08-15,48190,27561.23,4.1,31999,0.107,Decline,Discontinued
P0071,C002,Smart Watch 71,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2024-01-26,20283,10475.74,4.4,40635,0.103,Decline,Active
P0072,C002,Smart Light 72,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2023-04-18,37070,20360.23,4.4,36009,0.053,Introduction,Active
P0073,C002,Smartphone 73,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2024-09-18,49685,30345.57,4.5,24767,0.037,Mature,Active
P0074,C002,Smart Watch 74,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2022-09-17,20414,10579.45,3.5,2354,0.109,Mature,Active
P0075,C002,Fitness Watch 75,Watches,Fitness Watch,Fitness Watch designed for modern consumers with practical features and reliable performance.,2022-01-26,20145,13280.09,3.4,99169,0.079,Mature,Discontinued
P0076,C002,Smart Fan 76,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2022-05-14,23328,11787.85,3.3,63116,0.026,Decline,Discontinued
P0077,C002,Fitness Watch 77,Watches,Fitness Watch,Fitness Watch designed for modern consumers with practical features and reliable performance.,2022-06-24,42251,27713.92,3.5,74272,0.143,Growth,Active
P0078,C002,Smart Ring 78,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2024-06-25,40735,25615.72,4.3,68994,0.063,Mature,Discontinued
P0079,C002,Smartphone 79,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2023-06-26,40952,30223.91,3.4,27735,0.098,Introduction,Active
P0080,C002,Wireless Earbuds 80,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2024-08-20,37175,17565.91,3.2,59548,0.107,Mature,Active
P0081,C002,Headphones 81,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2023-06-26,47331,25313.35,4.7,9829,0.106,Growth,Discontinued
P0082,C002,Fitness Watch 82,Watches,Fitness Watch,Fitness Watch designed for modern consumers with practical features and reliable performance.,2022-12-06,15733,10136.62,4.7,19143,0.02,Mature,Active
P0083,C002,Air Purifier 83,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2024-10-08,31716,20824.83,4.4,36183,0.08,Decline,Active
P0084,C002,Fitness Band 84,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-10-12,29313,19650.27,4.2,3890,0.023,Introduction,Active
P0085,C002,Fitness Band 85,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-04-13,12481,7378.15,4.3,36958,0.035,Decline,Discontinued
P0086,C002,Analog Watch 86,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2023-11-07,23803,13627.32,3.7,14210,0.13,Decline,Discontinued
P0087,C002,Tablet 87,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2024-04-07,37051,17080.85,3.3,33582,0.055,Introduction,Discontinued
P0088,C002,Air Purifier 88,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2022-04-16,13293,8049.33,4.3,65838,0.098,Growth,Active
P0089,C002,Fitness Band 89,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-07-14,19876,11556.6,4.4,16415,0.014,Growth,Active
P0090,C002,Smartphone 90,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2022-08-29,37192,21288.6,3.6,15371,0.075,Growth,Discontinued
P0091,C002,Tablet 91,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-10-24,28229,19772.08,4.9,32446,0.074,Decline,Active
P0092,C002,Fitness Band 92,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2024-11-05,5575,2970.77,4.5,54887,0.058,Mature,Active
P0093,C002,Tablet 93,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2024-09-18,39465,24625.25,4.3,19976,0.073,Mature,Active
P0094,C002,Smart Ring 94,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2024-02-24,30841,22509.48,4.7,91922,0.043,Growth,Discontinued
P0095,C002,Analog Watch 95,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2025-09-21,49804,29478.63,4.8,50468,0.064,Growth,Discontinued
P0096,C002,Smart Watch 96,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2024-06-20,33918,25085.96,3.8,13654,0.132,Introduction,Discontinued
P0097,C002,Fitness Watch 97,Watches,Fitness Watch,Fitness Watch designed for modern consumers with practical features and reliable performance.,2023-06-27,10447,5986.06,4.3,20732,0.02,Mature,Discontinued
P0098,C002,Analog Watch 98,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2024-09-26,45194,31988.43,3.8,42005,0.098,Introduction,Active
P0099,C002,Bluetooth Speaker 99,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2022-07-21,45852,33301.33,4.9,98380,0.023,Introduction,Discontinued
P0100,C002,Bluetooth Speaker 100,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2024-02-07,20625,14871.19,3.3,7855,0.051,Decline,Active
P0101,C003,Bluetooth Speaker 101,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2025-06-02,28004,17356.27,4.5,22780,0.035,Decline,Active
P0102,C003,Smart Light 102,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2022-01-20,10379,5393.52,4.3,60736,0.046,Decline,Active
P0103,C003,Fitness Band 103,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2024-05-18,5840,3401.91,3.8,77514,0.052,Mature,Discontinued
P0104,C003,Smartphone 104,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2025-03-23,26211,18504.98,3.4,50486,0.09,Mature,Active
P0105,C003,Fitness Watch 105,Watches,Fitness Watch,Fitness Watch designed for modern consumers with practical features and reliable performance.,2022-04-11,26939,14340.82,4.2,90389,0.119,Decline,Active
P0106,C003,Bluetooth Speaker 106,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2026-01-16,24089,12422.73,3.5,33350,0.105,Growth,Active
P0107,C003,Analog Watch 107,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2023-08-28,29889,13749.22,3.8,17724,0.023,Mature,Discontinued
P0108,C003,Wireless Earbuds 108,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2023-07-13,9661,6627.0,4.7,48453,0.084,Growth,Active
P0109,C003,Smart Fan 109,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2022-10-16,49926,35503.33,4.6,61885,0.145,Growth,Discontinued
P0110,C003,Smart Ring 110,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2024-01-25,6918,4754.08,3.2,70829,0.027,Mature,Discontinued
P0111,C003,Smartphone 111,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2025-06-03,45226,23524.15,3.2,74084,0.056,Growth,Active
P0112,C003,Smart Light 112,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2023-09-16,20804,13413.83,3.4,6443,0.142,Decline,Active
P0113,C003,Smart Watch 113,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-11-27,36228,17777.05,4.0,88381,0.143,Decline,Active
P0114,C003,Smart Light 114,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2024-01-29,7489,5243.11,4.2,37166,0.015,Growth,Discontinued
P0115,C003,Air Purifier 115,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2025-08-13,24768,11883.84,4.4,71864,0.136,Mature,Active
P0116,C003,Smart Fan 116,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2023-03-11,13439,9951.07,4.8,60100,0.023,Introduction,Active
P0117,C003,Smartphone 117,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2023-03-19,9252,6347.74,3.5,73141,0.039,Growth,Active
P0118,C003,Bluetooth Speaker 118,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2022-12-24,1185,631.82,4.9,17538,0.086,Introduction,Active
P0119,C003,Wireless Earbuds 119,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2023-06-28,24477,16815.59,3.6,42937,0.012,Introduction,Active
P0120,C003,Smart Light 120,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2022-08-12,8448,5691.41,4.0,47953,0.082,Decline,Active
P0121,C003,Fitness Band 121,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-08-10,48660,33330.55,4.7,68847,0.052,Introduction,Active
P0122,C003,Smart Fan 122,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2022-06-15,28936,18977.08,4.0,58638,0.02,Mature,Active
P0123,C003,Smart Watch 123,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-05-08,19023,12123.27,4.2,93843,0.056,Mature,Discontinued
P0124,C003,Smart Ring 124,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2025-02-03,7499,5158.78,3.4,86314,0.101,Growth,Discontinued
P0125,C003,Air Purifier 125,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2023-10-03,28119,15512.68,4.0,55024,0.112,Decline,Active
P0126,C003,Tablet 126,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-07-10,11003,7218.48,4.0,12457,0.126,Decline,Active
P0127,C003,Smartphone 127,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2022-09-08,37462,17532.0,4.8,74120,0.056,Decline,Active
P0128,C003,Smart Light 128,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2024-11-05,4371,3236.81,4.2,46590,0.025,Growth,Active
P0129,C003,Air Purifier 129,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2025-03-21,8092,4491.34,4.1,15558,0.117,Growth,Discontinued
P0130,C003,Fitness Band 130,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2023-07-14,40911,29812.88,4.6,35554,0.014,Mature,Active
P0131,C003,Smartphone 131,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2025-07-20,12888,9162.84,4.2,53031,0.02,Introduction,Active
P0132,C003,Fitness Band 132,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2023-10-27,25654,14775.41,3.8,49003,0.054,Introduction,Active
P0133,C003,Wireless Earbuds 133,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2024-09-21,41490,19289.89,3.3,58579,0.103,Decline,Discontinued
P0134,C003,Smartphone 134,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2025-04-29,34577,16740.29,3.9,37625,0.105,Decline,Active
P0135,C003,Smart Watch 135,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2023-03-09,26903,20051.71,3.3,27294,0.052,Growth,Active
P0136,C003,Tablet 136,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2024-12-26,8863,4008.9,4.5,23528,0.028,Growth,Active
P0137,C003,Analog Watch 137,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2025-03-25,49630,22963.34,3.2,10705,0.131,Decline,Discontinued
P0138,C003,Smart Fan 138,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2025-06-19,8548,4885.26,4.8,23027,0.122,Decline,Active
P0139,C003,Analog Watch 139,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2023-09-28,7937,4151.01,4.2,69176,0.021,Mature,Active
P0140,C003,Smartphone 140,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2023-12-17,6005,3621.89,3.4,67340,0.037,Mature,Active
P0141,C003,Wireless Earbuds 141,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2025-09-04,10597,5582.4,3.5,20536,0.116,Introduction,Active
P0142,C003,Smart Fan 142,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2025-07-03,37944,25724.63,4.0,74489,0.1,Mature,Active
P0143,C003,Headphones 143,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2023-12-22,5475,3233.95,4.3,36502,0.093,Introduction,Active
P0144,C003,Smart Fan 144,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2022-07-04,3464,1617.92,4.6,10557,0.1,Decline,Discontinued
P0145,C003,Fitness Band 145,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2024-09-01,30473,22023.29,4.2,25172,0.055,Growth,Active
P0146,C003,Air Purifier 146,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2023-05-23,23507,17506.03,3.3,85189,0.034,Decline,Discontinued
P0147,C003,Fitness Band 147,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-10-22,24848,13960.99,3.7,54078,0.118,Introduction,Active
P0148,C003,Analog Watch 148,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2025-09-06,7193,4440.88,3.9,33529,0.111,Growth,Active
P0149,C003,Fitness Watch 149,Watches,Fitness Watch,Fitness Watch designed for modern consumers with practical features and reliable performance.,2024-03-13,44490,21908.14,3.8,86490,0.108,Growth,Active
P0150,C003,Tablet 150,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2025-11-04,43171,29680.0,4.6,88333,0.108,Introduction,Discontinued
P0151,C004,Smart Ring 151,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2024-09-22,2194,1225.96,3.5,28574,0.058,Growth,Active
P0152,C004,Wireless Earbuds 152,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2024-12-14,6057,3263.13,4.5,67043,0.118,Introduction,Active
P0153,C004,Fitness Band 153,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2022-12-06,40141,22600.02,3.5,91312,0.118,Decline,Active
P0154,C004,Smart Fan 154,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2024-07-08,45326,30181.48,4.8,80531,0.05,Growth,Active
P0155,C004,Tablet 155,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2023-08-01,13715,7685.23,4.8,58249,0.075,Decline,Discontinued
P0156,C004,Wireless Earbuds 156,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2024-01-31,40627,19968.97,3.6,84540,0.077,Introduction,Active
P0157,C004,Smartphone 157,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2022-07-07,11506,6119.32,4.7,19813,0.126,Growth,Discontinued
