product_id,product_name,category,subcategory,complaint_category,complaint_count,product_pain_score,demand_problem_score,market_gap_score,market_gap_level,opportunity_score,opportunity_level,opportunity_statement,opportunity_rank
P0235,Smartphone 235,Mobile,Smartphone,battery,31,77.5,78.93,36.43,Moderate Market Gap,65.68,Strong Opportunity,Improve Mobile products by addressing battery problems,13
P0263,Smart Light 263,Home Appliances,Smart Light,battery,34,85.0,70.47,36.23,Moderate Market Gap,65.28,Strong Opportunity,Improve Home Appliances products by addressing battery problems,14
P0308,Smart Watch 308,Watches,Smart Watch,battery,36,90.0,64.13,36.86,Moderate Market Gap,65.0,Strong Opportunity,Improve Watches products by addressing battery problems,15
P0338,Wireless Earbuds 338,Audio,Wireless Earbuds,battery,31,77.5,77.17,35.19,Moderate Market Gap,64.69,Strong Opportunity,Improve Audio products by addressing battery problems,16
P0276,Fitness Watch 276,Watches,Fitness Watch,battery,38,95.0,57.88,36.86,Moderate Market Gap,64.57,Strong Opportunity,Improve Watches products by addressing battery problems,17
P0411,Smart Fan 411,Home Appliances,Smart Fan,battery,38,95.0,58.11,36.23,Moderate Market Gap,64.46,Strong Opportunity,Improve Home Appliances products by addressing battery problems,18
P0150,Tablet 150,Mobile,Tablet,battery,32,80.0,71.05,36.43,Moderate Market Gap,63.8,Strong Opportunity,Improve Mobile products by addressing battery problems,19
P0099,Bluetooth Speaker 99,Audio,Bluetooth Speaker,quality,30,75.0,77.04,35.19,Moderate Market Gap,63.77,Strong Opportunity,Improve Audio products by addressing quality problems,20
P0124,Smart Ring 124,Wearables,Smart Ring,battery,32,80.0,71.44,35.35,Moderate Market Gap,63.61,Strong Opportunity,Improve Wearables products by addressing battery problems,21
P0217,Fitness Watch 217,Watches,Fitness Watch,battery,32,80.0,69.85,36.86,Moderate Market Gap,63.51,Strong Opportunity,Improve Watches products by addressing battery problems,22
P0363,Tablet 363,Mobile,Tablet,battery,35,87.5,62.14,36.43,Moderate Market Gap,63.3,Strong Opportunity,Improve Mobile products by addressing battery problems,23
P0020,Air Purifier 20,Home Appliances,Air Purifier,battery,34,85.0,64.51,36.23,Moderate Market Gap,63.2,Strong Opportunity,Improve Home Appliances products by addressing battery problems,24
P0269,Smartphone 269,Mobile,Smartphone,battery,31,77.5,71.85,36.43,Moderate Market Gap,63.2,Strong Opportunity,Improve Mobile products by addressing battery problems,25
P0075,Fitness Watch 75,Watches,Fitness Watch,battery,28,70.0,78.79,36.86,Moderate Market Gap,63.13,Strong Opportunity,Improve Watches products by addressing battery problems,26
P0032,Smartphone 32,Mobile,Smartphone,battery,31,77.5,70.5,36.43,Moderate Market Gap,62.73,Strong Opportunity,Improve Mobile products by addressing battery problems,27
P0211,Air Purifier 211,Home Appliances,Air Purifier,battery,34,85.0,62.77,36.23,Moderate Market Gap,62.59,Strong Opportunity,Improve Home Appliances products by addressing battery problems,28
P0326,Smart Watch 326,Watches,Smart Watch,battery,34,85.0,62.16,36.86,Moderate Market Gap,62.56,Strong Opportunity,Improve Watches products by addressing battery problems,29
P0105,Fitness Watch 105,Watches,Fitness Watch,quality,29,72.5,74.12,36.86,Moderate Market Gap,62.38,Strong Opportunity,Improve Watches products by addressing quality problems,30
P0297,Smartphone 297,Mobile,Smartphone,quality,29,72.5,73.51,36.43,Moderate Market Gap,62.03,Strong Opportunity,Improve Mobile products by addressing quality problems,31
P0466,Smart Fan 466,Home Appliances,Smart Fan,battery,29,72.5,73.63,36.23,Moderate Market Gap,62.01,Strong Opportunity,Improve Home Appliances products by addressing battery problems,32
P0123,Smart Watch 123,Watches,Smart Watch,battery,28,70.0,75.47,36.86,Moderate Market Gap,61.97,Strong Opportunity,Improve Watches products by addressing battery problems,33
P0312,Smart Watch 312,Watches,Smart Watch,battery,28,70.0,74.89,36.86,Moderate Market Gap,61.77,Strong Opportunity,Improve Watches products by addressing battery problems,34
P0110,Smart Ring 110,Wearables,Smart Ring,battery,30,75.0,70.92,35.35,Moderate Market Gap,61.68,Strong Opportunity,Improve Wearables products by addressing battery problems,35
P0155,Tablet 155,Mobile,Tablet,quality,34,85.0,59.26,36.43,Moderate Market Gap,61.42,Strong Opportunity,Improve Mobile products by addressing quality problems,36
P0283,Headphones 283,Audio,Headphones,battery,29,72.5,72.42,35.19,Moderate Market Gap,61.28,Strong Opportunity,Improve Audio products by addressing battery problems,37
P0242,Smart Light 242,Home Appliances,Smart Light,quality,27,67.5,76.46,36.23,Moderate Market Gap,61.26,Strong Opportunity,Improve Home Appliances products by addressing quality problems,38
P0047,Smart Fan 47,Home Appliances,Smart Fan,battery,27,67.5,76.37,36.23,Moderate Market Gap,61.22,Strong Opportunity,Improve Home Appliances products by addressing battery problems,39
P0372,Smart Watch 372,Watches,Smart Watch,battery,33,82.5,60.78,36.86,Moderate Market Gap,61.21,Strong Opportunity,Improve Watches products by addressing battery problems,40
P0297,Smartphone 297,Mobile,Smartphone,battery,28,70.0,73.51,36.43,Moderate Market Gap,61.16,Strong Opportunity,Improve Mobile products by addressing battery problems,41
P0347,Smartphone 347,Mobile,Smartphone,battery,26,65.0,78.35,36.43,Moderate Market Gap,61.1,Strong Opportunity,Improve Mobile products by addressing battery problems,42
P0118,Bluetooth Speaker 118,Audio,Bluetooth Speaker,battery,40,100.0,44.34,35.19,Moderate Market Gap,61.08,Strong Opportunity,Improve Audio products by addressing battery problems,43
P0250,Fitness Band 250,Wearables,Fitness Band,battery,31,77.5,66.68,35.35,Moderate Market Gap,61.07,Strong Opportunity,Improve Wearables products by addressing battery problems,44
P0111,Smartphone 111,Mobile,Smartphone,battery,30,75.0,67.48,36.43,Moderate Market Gap,60.8,Strong Opportunity,Improve Mobile products by addressing battery problems,45
P0110,Smart Ring 110,Wearables,Smart Ring,performance,29,72.5,70.92,35.35,Moderate Market Gap,60.8,Strong Opportunity,Improve Wearables products by addressing performance problems,46
P0001,Smart Watch 1,Watches,Smart Watch,battery,28,70.0,72.08,36.86,Moderate Market Gap,60.79,Strong Opportunity,Improve Watches products by addressing battery problems,47
P0165,Bluetooth Speaker 165,Audio,Bluetooth Speaker,battery,27,67.5,75.94,35.19,Moderate Market Gap,60.76,Strong Opportunity,Improve Audio products by addressing battery problems,48
P0039,Bluetooth Speaker 39,Audio,Bluetooth Speaker,battery,29,72.5,70.91,35.19,Moderate Market Gap,60.75,Strong Opportunity,Improve Audio products by addressing battery problems,49
P0304,Bluetooth Speaker 304,Audio,Bluetooth Speaker,battery,29,72.5,70.79,35.19,Moderate Market Gap,60.71,Strong Opportunity,Improve Audio products by addressing battery problems,50
P0094,Smart Ring 94,Wearables,Smart Ring,performance,27,67.5,75.53,35.35,Moderate Market Gap,60.67,Strong Opportunity,Improve Wearables products by addressing performance problems,51
P0479,Fitness Watch 479,Watches,Fitness Watch,quality,29,72.5,69.04,36.86,Moderate Market Gap,60.6,Strong Opportunity,Improve Watches products by addressing quality problems,52
P0139,Analog Watch 139,Watches,Analog Watch,battery,30,75.0,66.4,36.86,Moderate Market Gap,60.55,Strong Opportunity,Improve Watches products by addressing battery problems,53
P0375,Headphones 375,Audio,Headphones,battery,28,70.0,72.77,35.19,Moderate Market Gap,60.53,Strong Opportunity,Improve Audio products by addressing battery problems,54
P0075,Fitness Watch 75,Watches,Fitness Watch,quality,25,62.5,78.79,36.86,Moderate Market Gap,60.51,Strong Opportunity,Improve Watches products by addressing quality problems,55
P0192,Bluetooth Speaker 192,Audio,Bluetooth Speaker,battery,29,72.5,69.68,35.19,Moderate Market Gap,60.32,Strong Opportunity,Improve Audio products by addressing battery problems,56
P0117,Smartphone 117,Mobile,Smartphone,battery,30,75.0,66.12,36.43,Moderate Market Gap,60.32,Strong Opportunity,Improve Mobile products by addressing battery problems,57
P0010,Smart Light 10,Home Appliances,Smart Light,battery,25,62.5,78.49,36.23,Moderate Market Gap,60.22,Strong Opportunity,Improve Home Appliances products by addressing battery problems,58
P0199,Smart Ring 199,Wearables,Smart Ring,battery,31,77.5,64.24,35.35,Moderate Market Gap,60.21,Strong Opportunity,Improve Wearables products by addressing battery problems,59
P0481,Bluetooth Speaker 481,Audio,Bluetooth Speaker,battery,34,85.0,56.46,35.19,Moderate Market Gap,60.07,Strong Opportunity,Improve Audio products by addressing battery problems,60
P0055,Smart Watch 55,Watches,Smart Watch,battery,26,65.0,74.59,36.86,Moderate Market Gap,59.91,Strong Opportunity,Improve Watches products by addressing battery problems,61
P0374,Headphones 374,Audio,Headphones,quality,27,67.5,73.48,35.19,Moderate Market Gap,59.9,Strong Opportunity,Improve Audio products by addressing quality problems,62
P0318,Bluetooth Speaker 318,Audio,Bluetooth Speaker,battery,31,77.5,63.38,35.19,Moderate Market Gap,59.86,Strong Opportunity,Improve Audio products by addressing battery problems,63
P0237,Tablet 237,Mobile,Tablet,battery,26,65.0,74.81,36.43,Moderate Market Gap,59.86,Strong Opportunity,Improve Mobile products by addressing battery problems,64
P0219,Smart Ring 219,Wearables,Smart Ring,battery,36,90.0,50.65,35.35,Moderate Market Gap,59.83,Strong Opportunity,Improve Wearables products by addressing battery problems,65
P0470,Smart Light 470,Home Appliances,Smart Light,battery,29,72.5,67.01,36.23,Moderate Market Gap,59.7,Strong Opportunity,Improve Home Appliances products by addressing battery problems,66
P0485,Smart Watch 485,Watches,Smart Watch,battery,26,65.0,73.94,36.86,Moderate Market Gap,59.69,Strong Opportunity,Improve Watches products by addressing battery problems,67
P0485,Smart Watch 485,Watches,Smart Watch,quality,26,65.0,73.94,36.86,Moderate Market Gap,59.69,Strong Opportunity,Improve Watches products by addressing quality problems,68
P0455,Fitness Band 455,Wearables,Fitness Band,battery,29,72.5,67.7,35.35,Moderate Market Gap,59.68,Strong Opportunity,Improve Wearables products by addressing battery problems,69
P0149,Fitness Watch 149,Watches,Fitness Watch,battery,27,67.5,70.89,36.86,Moderate Market Gap,59.49,Strong Opportunity,Improve Watches products by addressing battery problems,70
P0097,Fitness Watch 97,Watches,Fitness Watch,battery,37,92.5,45.42,36.86,Moderate Market Gap,59.33,Strong Opportunity,Improve Watches products by addressing battery problems,71
P0202,Fitness Watch 202,Watches,Fitness Watch,battery,27,67.5,70.42,36.86,Moderate Market Gap,59.33,Strong Opportunity,Improve Watches products by addressing battery problems,72
P0383,Smart Ring 383,Wearables,Smart Ring,battery,28,70.0,68.97,35.35,Moderate Market Gap,59.24,Strong Opportunity,Improve Wearables products by addressing battery problems,73
P0191,Headphones 191,Audio,Headphones,battery,30,75.0,63.82,35.19,Moderate Market Gap,59.14,Strong Opportunity,Improve Audio products by addressing battery problems,74
P0394,Fitness Watch 394,Watches,Fitness Watch,battery,30,75.0,62.27,36.86,Moderate Market Gap,59.1,Strong Opportunity,Improve Watches products by addressing battery problems,75
P0291,Wireless Earbuds 291,Audio,Wireless Earbuds,quality,26,65.0,73.57,35.19,Moderate Market Gap,59.06,Strong Opportunity,Improve Audio products by addressing quality problems,76
P0055,Smart Watch 55,Watches,Smart Watch,quality,25,62.5,74.59,36.86,Moderate Market Gap,59.04,Strong Opportunity,Improve Watches products by addressing quality problems,77
P0468,Fitness Band 468,Wearables,Fitness Band,battery,34,85.0,53.34,35.35,Moderate Market Gap,59.02,Strong Opportunity,Improve Wearables products by addressing battery problems,78
P0039,Bluetooth Speaker 39,Audio,Bluetooth Speaker,quality,27,67.5,70.91,35.19,Moderate Market Gap,59.0,Strong Opportunity,Improve Audio products by addressing quality problems,79
P0094,Smart Ring 94,Wearables,Smart Ring,battery,25,62.5,75.53,35.35,Moderate Market Gap,58.92,Strong Opportunity,Improve Wearables products by addressing battery problems,80
P0056,Analog Watch 56,Watches,Analog Watch,quality,30,75.0,61.72,36.86,Moderate Market Gap,58.91,Strong Opportunity,Improve Watches products by addressing quality problems,81
P0479,Fitness Watch 479,Watches,Fitness Watch,battery,27,67.5,69.04,36.86,Moderate Market Gap,58.85,Strong Opportunity,Improve Watches products by addressing battery problems,82
P0348,Analog Watch 348,Watches,Analog Watch,battery,35,87.5,48.9,36.86,Moderate Market Gap,58.8,Strong Opportunity,Improve Watches products by addressing battery problems,83
P0275,Tablet 275,Mobile,Tablet,battery,36,90.0,46.77,36.43,Moderate Market Gap,58.8,Strong Opportunity,Improve Mobile products by addressing battery problems,84
P0139,Analog Watch 139,Watches,Analog Watch,quality,28,70.0,66.4,36.86,Moderate Market Gap,58.8,Strong Opportunity,Improve Watches products by addressing quality problems,85
P0365,Smart Ring 365,Wearables,Smart Ring,battery,29,72.5,65.13,35.35,Moderate Market Gap,58.78,Strong Opportunity,Improve Wearables products by addressing battery problems,86
P0200,Bluetooth Speaker 200,Audio,Bluetooth Speaker,quality,32,80.0,57.33,35.19,Moderate Market Gap,58.62,Strong Opportunity,Improve Audio products by addressing quality problems,87
P0258,Smart Watch 258,Watches,Smart Watch,battery,28,70.0,65.83,36.86,Moderate Market Gap,58.6,Strong Opportunity,Improve Watches products by addressing battery problems,88
P0398,Wireless Earbuds 398,Audio,Wireless Earbuds,battery,29,72.5,64.63,35.19,Moderate Market Gap,58.55,Strong Opportunity,Improve Audio products by addressing battery problems,89
P0121,Fitness Band 121,Wearables,Fitness Band,battery,30,75.0,61.96,35.35,Moderate Market Gap,58.54,Strong Opportunity,Improve Wearables products by addressing battery problems,90
P0347,Smartphone 347,Mobile,Smartphone,quality,23,57.5,78.35,36.43,Moderate Market Gap,58.48,Strong Opportunity,Improve Mobile products by addressing quality problems,91
P0373,Smartphone 373,Mobile,Smartphone,battery,29,72.5,63.2,36.43,Moderate Market Gap,58.42,Strong Opportunity,Improve Mobile products by addressing battery problems,92
P0033,Smart Watch 33,Watches,Smart Watch,battery,27,67.5,67.78,36.86,Moderate Market Gap,58.41,Strong Opportunity,Improve Watches products by addressing battery problems,93
P0294,Smart Ring 294,Wearables,Smart Ring,battery,31,77.5,58.98,35.35,Moderate Market Gap,58.37,Strong Opportunity,Improve Wearables products by addressing battery problems,94
P0092,Fitness Band 92,Wearables,Fitness Band,battery,31,77.5,58.71,35.35,Moderate Market Gap,58.28,Strong Opportunity,Improve Wearables products by addressing battery problems,95
P0225,Smart Fan 225,Home Appliances,Smart Fan,battery,25,62.5,72.85,36.23,Moderate Market Gap,58.24,Strong Opportunity,Improve Home Appliances products by addressing battery problems,96
P0291,Wireless Earbuds 291,Audio,Wireless Earbuds,performance,25,62.5,73.57,35.19,Moderate Market Gap,58.18,Strong Opportunity,Improve Audio products by addressing performance problems,97
P0497,Smart Ring 497,Wearables,Smart Ring,battery,27,67.5,68.43,35.35,Moderate Market Gap,58.18,Strong Opportunity,Improve Wearables products by addressing battery problems,98
P0451,Bluetooth Speaker 451,Audio,Bluetooth Speaker,battery,29,72.5,63.56,35.19,Moderate Market Gap,58.18,Strong Opportunity,Improve Audio products by addressing battery problems,99
P0266,Headphones 266,Audio,Headphones,battery,30,75.0,61.02,35.19,Moderate Market Gap,58.16,Strong Opportunity,Improve Audio products by addressing battery problems,100
P0055,Smart Watch 55,Watches,Smart Watch,performance,24,60.0,74.59,36.86,Moderate Market Gap,58.16,Strong Opportunity,Improve Watches products by addressing performance problems,101
P0237,Tablet 237,Mobile,Tablet,quality,24,60.0,74.81,36.43,Moderate Market Gap,58.11,Strong Opportunity,Improve Mobile products by addressing quality problems,102
P0017,Bluetooth Speaker 17,Audio,Bluetooth Speaker,battery,31,77.5,58.19,35.19,Moderate Market Gap,58.05,Strong Opportunity,Improve Audio products by addressing battery problems,103
P0483,Smartphone 483,Mobile,Smartphone,battery,23,57.5,77.06,36.43,Moderate Market Gap,58.03,Strong Opportunity,Improve Mobile products by addressing battery problems,104
P0483,Smartphone 483,Mobile,Smartphone,quality,23,57.5,77.06,36.43,Moderate Market Gap,58.03,Strong Opportunity,Improve Mobile products by addressing quality problems,105
P0413,Smart Watch 413,Watches,Smart Watch,battery,24,60.0,73.99,36.86,Moderate Market Gap,57.95,Strong Opportunity,Improve Watches products by addressing battery problems,106
P0043,Tablet 43,Mobile,Tablet,battery,27,67.5,66.77,36.43,Moderate Market Gap,57.92,Strong Opportunity,Improve Mobile products by addressing battery problems,107
P0148,Analog Watch 148,Watches,Analog Watch,battery,34,85.0,48.76,36.86,Moderate Market Gap,57.87,Strong Opportunity,Improve Watches products by addressing battery problems,108
P0316,Wireless Earbuds 316,Audio,Wireless Earbuds,battery,22,55.0,80.09,35.19,Moderate Market Gap,57.84,Strong Opportunity,Improve Audio products by addressing battery problems,109
P0125,Air Purifier 125,Home Appliances,Air Purifier,battery,29,72.5,61.54,36.23,Moderate Market Gap,57.78,Strong Opportunity,Improve Home Appliances products by addressing battery problems,110
P0293,Smart Fan 293,Home Appliances,Smart Fan,quality,23,57.5,76.51,36.23,Moderate Market Gap,57.77,Strong Opportunity,Improve Home Appliances products by addressing quality problems,111
P0474,Bluetooth Speaker 474,Audio,Bluetooth Speaker,performance,24,60.0,74.89,35.19,Moderate Market Gap,57.77,Strong Opportunity,Improve Audio products by addressing performance problems,112
P0058,Bluetooth Speaker 58,Audio,Bluetooth Speaker,battery,27,67.5,67.21,35.19,Moderate Market Gap,57.71,Strong Opportunity,Improve Audio products by addressing battery problems,113
P0471,Bluetooth Speaker 471,Audio,Bluetooth Speaker,battery,25,62.5,72.23,35.19,Moderate Market Gap,57.71,Strong Opportunity,Improve Audio products by addressing battery problems,114
P0256,Smartphone 256,Mobile,Smartphone,battery,23,57.5,76.08,36.43,Moderate Market Gap,57.68,Strong Opportunity,Improve Mobile products by addressing battery problems,115
P0203,Smart Light 203,Home Appliances,Smart Light,battery,25,62.5,71.18,36.23,Moderate Market Gap,57.66,Strong Opportunity,Improve Home Appliances products by addressing battery problems,116
P0419,Fitness Band 419,Wearables,Fitness Band,quality,23,57.5,76.83,35.35,Moderate Market Gap,57.62,Strong Opportunity,Improve Wearables products by addressing quality problems,117
P0057,Headphones 57,Audio,Headphones,quality,26,65.0,69.4,35.19,Moderate Market Gap,57.6,Strong Opportunity,Improve Audio products by addressing quality problems,118
P0008,Headphones 8,Audio,Headphones,battery,25,62.5,71.78,35.19,Moderate Market Gap,57.55,Strong Opportunity,Improve Audio products by addressing battery problems,119
P0214,Fitness Band 214,Wearables,Fitness Band,battery,31,77.5,56.44,35.35,Moderate Market Gap,57.48,Strong Opportunity,Improve Wearables products by addressing battery problems,120
P0222,Air Purifier 222,Home Appliances,Air Purifier,quality,27,67.5,65.63,36.23,Moderate Market Gap,57.46,Strong Opportunity,Improve Home Appliances products by addressing quality problems,121
P0491,Tablet 491,Mobile,Tablet,quality,24,60.0,72.73,36.43,Moderate Market Gap,57.38,Strong Opportunity,Improve Mobile products by addressing quality problems,122
P0142,Smart Fan 142,Home Appliances,Smart Fan,battery,25,62.5,70.25,36.23,Moderate Market Gap,57.33,Strong Opportunity,Improve Home Appliances products by addressing battery problems,123
P0374,Headphones 374,Audio,Headphones,battery,24,60.0,73.48,35.19,Moderate Market Gap,57.28,Strong Opportunity,Improve Audio products by addressing battery problems,124
P0230,Smart Watch 230,Watches,Smart Watch,performance,22,55.0,77.04,36.86,Moderate Market Gap,57.27,Strong Opportunity,Improve Watches products by addressing performance problems,125
P0230,Smart Watch 230,Watches,Smart Watch,quality,22,55.0,77.04,36.86,Moderate Market Gap,57.27,Strong Opportunity,Improve Watches products by addressing quality problems,126
P0165,Bluetooth Speaker 165,Audio,Bluetooth Speaker,quality,23,57.5,75.94,35.19,Moderate Market Gap,57.26,Strong Opportunity,Improve Audio products by addressing quality problems,127
P0323,Smart Watch 323,Watches,Smart Watch,battery,30,75.0,56.94,36.86,Moderate Market Gap,57.24,Strong Opportunity,Improve Watches products by addressing battery problems,128
P0095,Analog Watch 95,Watches,Analog Watch,battery,31,77.5,54.25,36.86,Moderate Market Gap,57.17,Strong Opportunity,Improve Watches products by addressing battery problems,129
P0056,Analog Watch 56,Watches,Analog Watch,battery,28,70.0,61.72,36.86,Moderate Market Gap,57.16,Strong Opportunity,Improve Watches products by addressing battery problems,130
P0109,Smart Fan 109,Home Appliances,Smart Fan,battery,31,77.5,54.68,36.23,Moderate Market Gap,57.13,Strong Opportunity,Improve Home Appliances products by addressing battery problems,131
P0389,Fitness Watch 389,Watches,Fitness Watch,quality,24,60.0,71.47,36.86,Moderate Market Gap,57.07,Strong Opportunity,Improve Watches products by addressing quality problems,132
P0281,Smart Ring 281,Wearables,Smart Ring,battery,25,62.5,70.25,35.35,Moderate Market Gap,57.07,Strong Opportunity,Improve Wearables products by addressing battery problems,133
P0248,Headphones 248,Audio,Headphones,battery,26,65.0,67.87,35.19,Moderate Market Gap,57.06,Strong Opportunity,Improve Audio products by addressing battery problems,134
P0288,Smart Ring 288,Wearables,Smart Ring,battery,26,65.0,67.62,35.35,Moderate Market Gap,57.02,Strong Opportunity,Improve Wearables products by addressing battery problems,135
P0235,Smartphone 235,Mobile,Smartphone,quality,21,52.5,78.93,36.43,Moderate Market Gap,56.93,Strong Opportunity,Improve Mobile products by addressing quality problems,136
P0188,Headphones 188,Audio,Headphones,battery,31,77.5,54.98,35.19,Moderate Market Gap,56.92,Strong Opportunity,Improve Audio products by addressing battery problems,137
P0009,Wireless Earbuds 9,Audio,Wireless Earbuds,battery,25,62.5,69.97,35.19,Moderate Market Gap,56.92,Strong Opportunity,Improve Audio products by addressing battery problems,138
P0078,Smart Ring 78,Wearables,Smart Ring,quality,28,70.0,62.24,35.35,Moderate Market Gap,56.89,Strong Opportunity,Improve Wearables products by addressing quality problems,139
P0474,Bluetooth Speaker 474,Audio,Bluetooth Speaker,battery,23,57.5,74.89,35.19,Moderate Market Gap,56.89,Strong Opportunity,Improve Audio products by addressing battery problems,140
P0028,Fitness Band 28,Wearables,Fitness Band,battery,26,65.0,67.1,35.35,Moderate Market Gap,56.84,Strong Opportunity,Improve Wearables products by addressing battery problems,141
P0338,Wireless Earbuds 338,Audio,Wireless Earbuds,quality,22,55.0,77.17,35.19,Moderate Market Gap,56.82,Strong Opportunity,Improve Audio products by addressing quality problems,142
P0216,Headphones 216,Audio,Headphones,battery,25,62.5,69.4,35.19,Moderate Market Gap,56.72,Strong Opportunity,Improve Audio products by addressing battery problems,143
P0010,Smart Light 10,Home Appliances,Smart Light,performance,21,52.5,78.49,36.23,Moderate Market Gap,56.72,Strong Opportunity,Improve Home Appliances products by addressing performance problems,144
P0005,Air Purifier 5,Home Appliances,Air Purifier,battery,30,75.0,56.0,36.23,Moderate Market Gap,56.72,Strong Opportunity,Improve Home Appliances products by addressing battery problems,145
P0127,Smartphone 127,Mobile,Smartphone,quality,26,65.0,65.78,36.43,Moderate Market Gap,56.7,Strong Opportunity,Improve Mobile products by addressing quality problems,146
P0008,Headphones 8,Audio,Headphones,quality,24,60.0,71.78,35.19,Moderate Market Gap,56.68,Strong Opportunity,Improve Audio products by addressing quality problems,147
P0405,Air Purifier 405,Home Appliances,Air Purifier,quality,25,62.5,68.21,36.23,Moderate Market Gap,56.62,Strong Opportunity,Improve Home Appliances products by addressing quality problems,148
P0305,Fitness Band 305,Wearables,Fitness Band,battery,33,82.5,48.85,35.35,Moderate Market Gap,56.58,Strong Opportunity,Improve Wearables products by addressing battery problems,149
P0048,Smart Watch 48,Watches,Smart Watch,battery,35,87.5,42.55,36.86,Moderate Market Gap,56.58,Strong Opportunity,Improve Watches products by addressing battery problems,150
P0156,Wireless Earbuds 156,Audio,Wireless Earbuds,battery,26,65.0,66.39,35.19,Moderate Market Gap,56.54,Strong Opportunity,Improve Audio products by addressing battery problems,151
P0345,Tablet 345,Mobile,Tablet,battery,22,55.0,75.09,36.43,Moderate Market Gap,56.46,Strong Opportunity,Improve Mobile products by addressing battery problems,152
P0345,Tablet 345,Mobile,Tablet,quality,22,55.0,75.09,36.43,Moderate Market Gap,56.46,Strong Opportunity,Improve Mobile products by addressing quality problems,153
P0266,Headphones 266,Audio,Headphones,quality,28,70.0,61.02,35.19,Moderate Market Gap,56.41,Strong Opportunity,Improve Audio products by addressing quality problems,154
P0176,Smart Light 176,Home Appliances,Smart Light,battery,33,82.5,47.62,36.23,Moderate Market Gap,56.41,Strong Opportunity,Improve Home Appliances products by addressing battery problems,155
P0194,Air Purifier 194,Home Appliances,Air Purifier,battery,33,82.5,47.47,36.23,Moderate Market Gap,56.36,Strong Opportunity,Improve Home Appliances products by addressing battery problems,156
P0483,Smartphone 483,Mobile,Smartphone,performance,21,52.5,77.06,36.43,Moderate Market Gap,56.28,Strong Opportunity,Improve Mobile products by addressing performance problems,157
P0177,Wireless Earbuds 177,Audio,Wireless Earbuds,battery,23,57.5,73.15,35.19,Moderate Market Gap,56.28,Strong Opportunity,Improve Audio products by addressing battery problems,158
P0302,Bluetooth Speaker 302,Audio,Bluetooth Speaker,battery,29,72.5,58.13,35.19,Moderate Market Gap,56.28,Strong Opportunity,Improve Audio products by addressing battery problems,159
P0196,Smart Ring 196,Wearables,Smart Ring,battery,24,60.0,70.43,35.35,Moderate Market Gap,56.26,Strong Opportunity,Improve Wearables products by addressing battery problems,160
P0088,Air Purifier 88,Home Appliances,Air Purifier,battery,28,70.0,59.64,36.23,Moderate Market Gap,56.24,Strong Opportunity,Improve Home Appliances products by addressing battery problems,161
P0234,Air Purifier 234,Home Appliances,Air Purifier,battery,27,67.5,62.11,36.23,Moderate Market Gap,56.23,Strong Opportunity,Improve Home Appliances products by addressing battery problems,162
P0409,Analog Watch 409,Watches,Analog Watch,battery,27,67.5,61.53,36.86,Moderate Market Gap,56.22,Strong Opportunity,Improve Watches products by addressing battery problems,163
P0069,Headphones 69,Audio,Headphones,battery,23,57.5,72.94,35.19,Moderate Market Gap,56.21,Strong Opportunity,Improve Audio products by addressing battery problems,164
